,countries,polarity,subjectivity
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
2,Spain,0.0909090909090909,0.4696969696969697
109,SouthAmerica,0.0909090909090909,0.4696969696969697
131,NorthAmerica,0.0909090909090909,0.4696969696969697
148,CentralAmerica,0.0909090909090909,0.4696969696969697
23,India,0.05,0.30000000000000004
23,India,0.0,0.0
23,India,0.1,0.17500000000000002
23,India,0.0,0.25
23,India,-0.18333333333333338,0.3333333333333333
23,India,-0.1,0.6
1,Brazil,-0.1,0.1
1,Brazil,-0.1,0.1
1,Brazil,0.0,0.0
1,Brazil,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
26,Japan,0.0,0.0
59,United,0.0,0.0
2,Spain,0.05000000000000002,0.5
8,Argentina,0.05000000000000002,0.5
8,Argentina,0.0,0.0
8,Argentina,0.0,0.0
23,India,0.05,0.30000000000000004
23,India,0.1,0.17500000000000002
23,India,0.0,0.0
45,Singapore,0.0,0.0
45,Singapore,0.0,0.0
23,India,0.0,0.0
9,Colombia,0.0,0.0
14,France,0.0,0.0
9,Colombia,0.0,0.0
26,Japan,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
24,Indonesia,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
14,France,0.10000000000000002,0.3833333333333333
72,Tanzania,0.0,0.0
72,Tanzania,0.0,0.0
72,Tanzania,0.05,0.1
1,Brazil,-0.1,0.1
1,Brazil,0.0,0.0
1,Brazil,-0.25000000000000006,0.35
1,Brazil,-0.25000000000000006,0.35
23,India,0.0,0.0
66,Paraguay,0.0,0.0
59,United,0.0,0.0
43,Ireland,0.0,0.0
131,NorthAmerica,0.0,0.0
43,Ireland,0.0,0.1
131,NorthAmerica,0.0,0.1
23,India,0.0,0.0
23,India,-0.25,0.55
23,India,0.0,0.0
29,Ethiopia,0.0,0.0
29,Ethiopia,0.0,0.0
29,Ethiopia,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,-0.1,0.55
23,India,0.0,0.0
23,India,0.1,0.4
23,India,0.06666666666666667,0.13333333333333333
23,India,0.0,0.0
23,India,0.0,0.0
78,Ghana,0.0,0.0
23,India,-0.1,0.55
23,India,0.0,0.0
23,India,0.1,0.4
5,Italy,0.0,0.0
1,Brazil,0.43333333333333335,0.8333333333333334
9,Colombia,0.0,0.0
1,Brazil,0.43333333333333335,0.8333333333333334
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
69,Africa,1.0,1.0
85,WestAfrica,1.0,1.0
69,Africa,-0.125,0.375
85,WestAfrica,-0.125,0.375
1,Brazil,0.4,1.0
23,India,0.0,0.0
23,India,0.0,0.0
9,Colombia,0.30000000000000004,0.55
2,Spain,0.08333333333333333,0.39999999999999997
2,Spain,0.0,0.0
2,Spain,0.0,0.0
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
59,United,0.375,0.75
67,UnitedKingdom,0.375,0.75
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
59,United,0.25,0.3333333333333333
67,UnitedKingdom,0.25,0.3333333333333333
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
59,United,0.0,0.0
59,United,0.35,0.35
23,India,0.0,0.0
1,Brazil,0.08333333333333333,0.6
1,Brazil,0.0,0.0
23,India,0.0,0.0
1,Brazil,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
76,BosniaandHerzegovina,0.3666666666666667,0.6
76,BosniaandHerzegovina,0.0,0.0
23,India,0.0,0.0
1,Brazil,0.0,0.0
41,Myanmar,0.13636363636363635,0.45454545454545453
7,SriLanka,0.0,0.0
23,India,0.0,0.0
23,India,0.6000000000000001,0.9
23,India,0.0,0.0
23,India,0.0,0.0
23,India,-0.25,0.23333333333333334
23,India,-0.25,0.23333333333333334
23,India,0.0,0.0
59,United,0.0,0.0
84,Netherlands,0.125,0.7000000000000001
84,Netherlands,0.0,0.0
84,Netherlands,-0.125,0.31666666666666665
9,Colombia,0.0,0.0
9,Colombia,1.0,0.2
9,Colombia,0.0,0.0
9,Colombia,-0.25,0.25
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.22727272727272727,0.5454545454545454
9,Colombia,0.2,0.2
59,United,0.5,0.5
23,India,0.0,0.0
