,countries,polarity,subjectivity
11,Philippines,0.106758658008658,0.42823322510822515
11,Philippines,0.32949810606060603,0.47642045454545456
13,Georgia,0.075,0.32222222222222224
36,Ukraine,-0.344047619047619,0.5595238095238095
59,United,0.0,0.0
13,Georgia,0.0,0.0
4,Australia,0.34285714285714286,0.5178571428571428
4,Australia,0.0,0.125
12,Mexico,0.0,0.0
12,Mexico,0.1642857142857143,0.27142857142857146
13,Georgia,0.03212353123067409,0.3941210575139147
13,Georgia,0.05,0.1
31,Germany,0.0,0.0
13,Georgia,0.09818001443001442,0.557041847041847
9,Colombia,0.1,0.5
6,NorthMacedonia,0.05,0.1
13,Georgia,0.03212353123067409,0.3941210575139147
36,Ukraine,0.05,0.1
6,NorthMacedonia,0.14867424242424243,0.46041666666666664
14,France,0.05,0.1
36,Ukraine,0.05,0.1
36,Ukraine,0.025422077922077922,0.40565295815295827
36,Ukraine,0.22807017543859653,0.41140350877192977
36,Ukraine,-0.1892857142857143,0.6107142857142858
120,Austria,-0.1892857142857143,0.6107142857142858
36,Ukraine,-0.30000000000000004,0.5333333333333333
15,NewZealand,0.05,0.1
36,Ukraine,0.05,0.1
145,New,0.05,0.1
9,Colombia,0.14047619047619048,0.4642857142857143
36,Ukraine,0.10598285486443386,0.4809150717703348
6,NorthMacedonia,0.0,0.0
2,Spain,-0.04479166666666666,0.559375
31,Germany,-0.04479166666666666,0.559375
13,Georgia,0.05,0.1
36,Ukraine,0.05,0.1
17,Canada,0.22638888888888886,0.36031746031746037
2,Spain,0.05,0.1
13,Georgia,0.05,0.1
2,Spain,-0.30000000000000004,0.2
13,Georgia,-0.30000000000000004,0.2
2,Spain,-0.30000000000000004,0.2
13,Georgia,-0.30000000000000004,0.2
36,Ukraine,-0.031210021321961604,0.596730632551528
4,Australia,0.07333221551531412,0.49308629555108413
6,NorthMacedonia,0.0,0.0
13,Georgia,0.0,0.0
36,Ukraine,0.05,0.1
36,Ukraine,0.05,0.1
82,Sweden,0.05,0.1
13,Georgia,0.05,0.1
29,Ethiopia,0.0,0.0
4,Australia,0.05,0.1
36,Ukraine,0.05,0.1
36,Ukraine,0.0,0.0
53,Russia,0.0,0.0
62,Israel,0.0,0.0
5,Italy,0.0,0.0
36,Ukraine,0.0,0.0
13,Georgia,0.0,0.0
13,Georgia,0.30000000000000004,0.6285714285714286
1,Brazil,0.11875,0.56875
36,Ukraine,0.0,0.0
18,SouthAfrica,0.1875,0.38125
28,China,0.1875,0.38125
36,Ukraine,0.1875,0.38125
69,Africa,0.1875,0.38125
6,NorthMacedonia,0.0,0.0
124,Belarus,0.0,0.0
5,Italy,0.03718671679197995,0.3964285714285714
31,Germany,0.03718671679197995,0.3964285714285714
13,Georgia,0.0,0.0
6,NorthMacedonia,0.0,0.0
31,Germany,0.6200000000000001,0.53
13,Georgia,-0.05151515151515152,0.3856060606060607
13,Georgia,0.30000000000000004,0.6285714285714286
13,Georgia,0.055773809523809524,0.3360714285714286
53,Russia,0.055773809523809524,0.3360714285714286
13,Georgia,0.16193893825472772,0.31472431077694235
53,Russia,0.16193893825472772,0.31472431077694235
36,Ukraine,0.06345057720057719,0.4066901154401154
13,Georgia,0.055773809523809524,0.3360714285714286
13,Georgia,0.16193893825472772,0.31472431077694235
13,Georgia,0.05,0.1
16,Poland,0.7,1.0
13,Georgia,0.05,0.1
13,Georgia,0.0,0.0
13,Georgia,-0.16666666666666666,0.4222222222222222
6,NorthMacedonia,0.0,0.0
36,Ukraine,0.05,0.1
13,Georgia,0.1712121212121212,0.4919191919191919
36,Ukraine,0.16111111111111112,0.4222222222222222
36,Ukraine,0.05,0.1
36,Ukraine,0.3181818181818182,0.6717171717171717
4,Australia,0.06710365206688738,0.392688067651303
15,NewZealand,0.06710365206688738,0.392688067651303
36,Ukraine,0.06710365206688738,0.392688067651303
145,New,0.06710365206688738,0.392688067651303
23,India,0.28625,0.5974999999999999
13,Georgia,0.0,0.0
36,Ukraine,0.0,0.0
36,Ukraine,0.05,0.1
14,France,0.04035087719298247,0.46403508771929824
13,Georgia,-0.00019384623815003904,0.43599512302043936
13,Georgia,-0.01077248223474639,0.4364110103732747
13,Georgia,0.0,0.0
13,Georgia,0.2,0.30000000000000004
13,Georgia,0.0,0.0
16,Poland,0.26666666666666666,0.4666666666666666
13,Georgia,-0.10681818181818183,0.5636363636363636
14,France,0.19274891774891775,0.423051948051948
46,Serbia,0.19274891774891775,0.423051948051948
31,Germany,0.03181818181818182,0.3658730158730159
35,Thailand,0.0,0.0
6,NorthMacedonia,0.12291666666666666,0.48125
6,NorthMacedonia,0.13636363636363635,0.45454545454545453
13,Georgia,0.0,0.0
13,Georgia,0.009999999999999992,0.473452380952381
33,Belgium,0.05,0.1
36,Ukraine,0.05,0.1
9,Colombia,0.0,0.0
59,United,0.05208333333333333,0.7076388888888888
59,United,-0.184375,0.33749999999999997
16,Poland,0.0,0.0
16,Poland,0.0,0.0
36,Ukraine,0.04329004329004329,0.5250647228588405
19,Nigeria,0.05,0.1
36,Ukraine,0.05,0.1
1,Brazil,0.28625,0.5974999999999999
36,Ukraine,-0.05709366391184572,0.4918388429752065
16,Poland,-0.07583333333333332,0.5266666666666666
59,United,-0.013234629294755877,0.4933519188266025
59,United,-0.012347647392290249,0.49232568027210893
59,United,-0.010199175824175828,0.5054461741961743
43,Ireland,0.13999999999999999,0.38
36,Ukraine,0.5,0.5
36,Ukraine,-0.02613636363636365,0.35157828282828274
16,Poland,0.02246599055066799,0.45400875110552535
16,Poland,0.12857142857142856,0.511904761904762
36,Ukraine,0.054166666666666696,0.575
59,United,0.054166666666666696,0.575
16,Poland,-0.008333333333333338,0.48333333333333334
16,Poland,-0.05,0.43333333333333335
1,Brazil,0.1774327122153209,0.5447204968944099
16,Poland,0.0,0.0
16,Poland,0.29214285714285715,0.6964285714285714
23,India,0.09583333333333333,0.4291666666666667
36,Ukraine,-0.061072261072261075,0.43916083916083914
6,NorthMacedonia,0.08166666666666667,0.3401190476190476
6,NorthMacedonia,0.19166666666666668,0.5694444444444444
11,Philippines,0.23200000000000004,0.5119999999999999
11,Philippines,0.08181818181818182,0.45303030303030306
11,Philippines,0.16000000000000003,0.5887179487179487
11,Philippines,0.3885416666666667,0.6041666666666667
10,Taiwan,0.2903030303030303,0.4154545454545454
11,Philippines,0.024999999999999994,0.6666666666666667
36,Ukraine,0.05,0.1
36,Ukraine,0.075,0.38416666666666666
5,Italy,0.0,0.5
9,Colombia,0.07785087719298248,0.5106704260651629
1,Brazil,0.08044400044400045,0.455124135124135
3,SouthKorea,0.0,0.5
36,Ukraine,0.0,0.5
36,Ukraine,0.0,0.0
23,India,0.05,0.1
59,United,0.0,0.0
59,United,0.0,0.0
59,United,0.5,0.5
11,Philippines,0.3885416666666667,0.6041666666666667
31,Germany,-0.12847619047619047,0.5041904761904762
6,NorthMacedonia,-0.024821428571428567,0.41946428571428573
9,Colombia,0.19999999999999998,0.6944444444444443
32,Venezuela,0.19999999999999998,0.6944444444444443
36,Ukraine,0.075,0.38416666666666666
36,Ukraine,-0.040354978354978366,0.4842380952380953
23,India,0.225,0.5314814814814816
5,Italy,-0.2,0.0
11,Philippines,0.15773809523809523,0.5535714285714285
8,Argentina,0.5633333333333334,0.9533333333333333
2,Spain,-0.08047619047619048,0.5857142857142856
2,Spain,0.5,0.5
50,Egypt,0.0,0.0
11,Philippines,-0.20833333333333334,0.725
11,Philippines,-0.25,0.9
11,Philippines,-0.25,0.9
11,Philippines,0.41874999999999996,0.5687500000000001
11,Philippines,0.25,0.4904761904761905
8,Argentina,0.09806244260789719,0.3990128558310377
11,Philippines,0.004761904761904768,0.6166666666666666
4,Australia,0.0,0.0
23,India,0.0,0.0
36,Ukraine,0.05,0.1
11,Philippines,-0.25,0.9
23,India,-0.2,0.4
11,Philippines,0.20625,0.5017857142857143
36,Ukraine,0.0,0.0
59,United,0.0,0.0
13,Georgia,0.0,0.0
13,Georgia,0.0,0.0
16,Poland,0.0,0.0
5,Italy,0.04287414965986395,0.4898526077097505
5,Italy,0.04216317308422573,0.5013097136781346
4,Australia,0.13333333333333333,0.5
9,Colombia,0.14166666666666666,0.5416666666666666
36,Ukraine,0.0,0.0
36,Ukraine,0.05,0.1
62,Israel,0.05,0.1
23,India,0.4000000000000001,0.4666666666666666
31,Germany,0.12222222222222223,0.2777777777777778
36,Ukraine,0.12222222222222223,0.2777777777777778
36,Ukraine,0.05,0.1
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
36,Ukraine,0.038257575757575754,0.4617174492174492
36,Ukraine,-0.01454545454545455,0.6424242424242423
33,Belgium,0.05,0.1
11,Philippines,0.05740740740740741,0.19814814814814816
11,Philippines,-0.15,0.625
11,Philippines,0.024999999999999994,0.6666666666666667
23,India,0.37142857142857144,0.6142857142857143
36,Ukraine,0.0,0.0
11,Philippines,0.0,0.0
11,Philippines,0.1761904761904762,0.46666666666666673
11,Philippines,0.06666666666666667,0.5666666666666667
36,Ukraine,0.05,0.1
9,Colombia,0.09375,0.625
36,Ukraine,0.0,0.0
59,United,0.10113636363636362,0.4
5,Italy,0.11205118411000763,0.6080977845683728
16,Poland,0.08333333333333333,0.3358333333333333
43,Ireland,0.0,0.0
59,United,-0.05,0.5625
50,Egypt,0.05,0.1
8,Argentina,0.16491228070175437,0.5666666666666665
0,USA,0.2857142857142857,0.5357142857142857
23,India,0.2857142857142857,0.5357142857142857
129,USA,0.2857142857142857,0.5357142857142857
5,Italy,0.14505494505494504,0.5412087912087912
9,Colombia,0.0,0.8125
59,United,0.13333333333333333,0.2333333333333333
13,Georgia,0.05,0.1
1,Brazil,0.04404761904761905,0.5130952380952382
9,Colombia,0.2,0.3
23,India,0.125,0.75
23,India,-0.0413003663003663,0.5647083685545223
36,Ukraine,0.05,0.1
23,India,0.32,0.4499999999999999
23,India,-0.0413003663003663,0.5647083685545223
23,India,0.25,0.3333333333333333
59,United,0.02882653061224491,0.3778061224489796
2,Spain,0.0,0.0
59,United,0.0,0.0
2,Spain,-0.5,1.0
59,United,-0.5,1.0
2,Spain,0.0,0.0
59,United,0.0,0.0
11,Philippines,-0.0037499999999999964,0.485
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
13,Georgia,0.05,0.1
59,United,0.05,0.1
13,Georgia,0.05,0.1
59,United,0.05,0.1
6,NorthMacedonia,0.0,0.0
59,United,-0.19013047138047137,0.5036405723905724
31,Germany,0.11543417366946782,0.4196498599439776
2,Spain,0.10906764330677375,0.483087604826735
9,Colombia,0.22762150728059816,0.5288646202282566
7,SriLanka,0.016666666666666666,0.6166666666666667
1,Brazil,0.0,0.0
1,Brazil,0.12472089314194575,0.5719298245614035
1,Brazil,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
23,India,-0.003537414965986393,0.3720748299319728
23,India,0.0,0.0
4,Australia,0.0,0.0
44,Bolivia,0.05,0.1
36,Ukraine,0.0,0.0
59,United,0.0,0.0
59,United,0.44999999999999996,0.75
59,United,0.0,0.0
9,Colombia,0.2,0.2
36,Ukraine,0.05,0.1
9,Colombia,0.15000000000000002,0.575
9,Colombia,0.0153409090909091,0.5905303030303031
23,India,0.05,0.1
2,Spain,0.19318181818181818,0.41666666666666663
59,United,0.0,0.0
11,Philippines,-0.5,1.0
11,Philippines,-0.09722222222222225,0.6805555555555555
11,Philippines,-0.0875,0.3375
36,Ukraine,0.0,0.0
59,United,-0.15625,0.4694444444444444
59,United,0.2,0.2
9,Colombia,0.014052175894281156,0.28753892306523876
50,Egypt,0.02566964285714286,0.5484375
11,Philippines,-0.11704545454545456,0.49034090909090905
11,Philippines,-0.025178571428571418,0.5119047619047619
52,Jordan,0.05,0.1
36,Ukraine,0.05,0.1
11,Philippines,-0.0393939393939394,0.6833333333333333
26,Japan,0.05,0.1
36,Ukraine,0.05,0.1
59,United,-0.015625,0.22604166666666672
50,Egypt,0.05,0.1
50,Egypt,0.7,1.0
50,Egypt,0.05,0.1
50,Egypt,0.0,0.0
8,Argentina,0.19285714285714287,0.4964285714285714
9,Colombia,0.0,0.0
9,Colombia,0.1707070707070707,0.531060606060606
6,NorthMacedonia,0.0,0.0
59,United,0.14194444444444443,0.5263888888888889
41,Myanmar,0.0,0.0
59,United,-0.5,1.0
23,India,0.0,0.0
23,India,0.0,0.0
6,NorthMacedonia,0.0,0.0
36,Ukraine,0.04204545454545453,0.38181818181818183
36,Ukraine,-0.7142857142857143,0.8571428571428571
36,Ukraine,0.05,0.1
23,India,0.0,0.0
1,Brazil,0.0,0.0
59,United,0.0,0.0
59,United,3.700743415417188e-17,0.7555555555555555
9,Colombia,-1.0,1.0
23,India,0.21103896103896103,0.5178571428571428
49,Tunisia,0.05,0.1
49,Tunisia,0.05,0.1
49,Tunisia,0.05,0.1
49,Tunisia,0.05,0.1
49,Tunisia,0.05,0.1
23,India,0.0,0.0
59,United,0.0,0.0
23,India,0.05,0.1
23,India,0.0,0.0
23,India,0.10499999999999998,0.62
7,SriLanka,0.0,0.0
2,Spain,0.19285714285714287,0.4964285714285714
2,Spain,-0.042777777777777776,0.48888888888888893
50,Egypt,0.0,0.0
50,Egypt,0.0,1.0
50,Egypt,0.0,0.0
49,Tunisia,0.05,0.1
49,Tunisia,0.05,0.1
24,Indonesia,-0.0413003663003663,0.5647083685545223
23,India,0.05,0.1
50,Egypt,0.05,0.1
52,Jordan,0.05,0.1
50,Egypt,0.05,0.1
52,Jordan,0.05,0.1
50,Egypt,0.05,0.1
52,Jordan,0.05,0.1
50,Egypt,0.05,0.1
52,Jordan,0.05,0.1
50,Egypt,0.08162102924398008,0.41682819912328084
52,Jordan,0.08162102924398008,0.41682819912328084
50,Egypt,0.05,0.1
52,Jordan,0.05,0.1
59,United,0.0,0.0
5,Italy,0.1619047619047619,0.5142857142857143
16,Poland,0.0,0.0
16,Poland,0.0,0.0
6,NorthMacedonia,-0.0950280112044818,0.4432773109243697
23,India,0.018518518518518514,0.39814814814814814
