counter,topic,all_reactions,comments,shares,interaction_sum
345,1,0.0,0.0,0.0,0
346,0,617.0,354.0,1100.0,2071
347,0,0.0,267.0,954.0,1221
348,0,125.0,65.0,65.0,255
349,0,0.0,36.0,595.0,631
350,1,0.0,0.0,0.0,0
351,1,196.0,26.0,251.0,473
352,0,0.0,29.0,318.0,347
353,0,107.0,14.0,80.0,201
354,1,0.0,0.0,0.0,0
355,0,88.0,2.0,5.0,95
356,0,50.0,5.0,39.0,94
357,1,25.0,4.0,8.0,37
358,0,0.0,63.0,100.0,163
359,0,0.0,18.0,1.0,19
360,0,0.0,19.0,5.0,24
361,1,0.0,0.0,0.0,0
362,1,0.0,0.0,0.0,0
363,0,0.0,37.0,536.0,573
364,0,2800.0,0.0,7451.0,10251
365,0,61.0,0.0,184.0,245
366,0,0.0,330.0,1611.0,1941
367,0,28.0,6.0,40.0,74
368,0,434.0,28.0,91.0,553
369,0,374.0,14.0,49.0,437
370,0,286.0,19.0,44.0,349
371,0,1.0,0.0,0.0,1
372,0,12.0,0.0,0.0,12
373,0,109.0,2.0,34.0,145
374,0,41.0,0.0,24.0,65
375,0,444.0,38.0,201.0,683
376,1,0.0,0.0,0.0,0
377,0,1100.0,46.0,337.0,1483
378,0,5600.0,954.0,11920.0,18474
379,1,0.0,0.0,0.0,0
380,1,125.0,21.0,215.0,361
381,1,356.0,82.0,340.0,778
382,1,0.0,0.0,0.0,0
383,0,147.0,72.0,286.0,505
384,0,0.0,118.0,357.0,475
385,0,3400.0,621.0,716.0,4737
386,0,6600.0,12000.0,1700.0,20300
387,0,0.0,139.0,1185.0,1324
388,0,0.0,107.0,2075.0,2182
389,0,0.0,17.0,168.0,185
390,0,496.0,302.0,1040.0,1838
391,0,279.0,0.0,75.0,354
392,0,140.0,0.0,25.0,165
393,1,0.0,0.0,0.0,0
394,1,0.0,0.0,0.0,0
395,0,5100.0,0.0,1910.0,7010
396,1,0.0,0.0,0.0,0
397,0,922.0,0.0,306.0,1228
398,1,0.0,0.0,0.0,0
399,0,326.0,122.0,8527.0,8975
400,1,0.0,0.0,0.0,0
