,topic,all_reactions,comments,shares,interaction_sum
295,1,138.0,0.0,16.0,154
296,3,43000.0,0.0,10717.0,53717
297,1,3900.0,31000.0,396.0,35296
298,3,43000.0,0.0,10717.0,53717
299,3,0.0,73.0,2.0,75
300,1,53.0,9.0,3349.0,3411
301,1,0.0,15.0,131.0,146
302,0,3.0,0.0,0.0,3
303,0,4.0,3.0,2.0,9
304,0,305.0,71.0,146.0,522
305,1,948.0,401.0,1280.0,2629
306,1,0.0,5.0,2681.0,2686
307,1,3100.0,11000.0,884.0,14984
308,1,1300.0,374.0,1549.0,3223
309,1,260.0,450.0,386.0,1096
310,0,25000.0,38000.0,7015.0,70015
311,1,0.0,231.0,1068.0,1299
312,1,6500.0,0.0,2180.0,8680
313,3,0.0,31000.0,111414.0,142414
314,3,0.0,7.0,19.0,26
315,0,5.0,0.0,2.0,7
316,0,5.0,0.0,3.0,8
317,0,464.0,0.0,58.0,522
318,3,390.0,0.0,416.0,806
319,4,55.0,0.0,1302.0,1357
320,0,896.0,0.0,1031.0,1927
321,0,332.0,0.0,131.0,463
322,1,143.0,119.0,221.0,483
323,3,0.0,4.0,30.0,34
324,1,143.0,0.0,221.0,364
325,4,91.0,50.0,18.0,159
326,0,119.0,0.0,33.0,152
327,0,945.0,0.0,2547.0,3492
328,1,81.0,7.0,1.0,89
329,0,195.0,87.0,41.0,323
330,3,30.0,15.0,145.0,190
331,0,67.0,18.0,4.0,89
332,0,0.0,8.0,217.0,225
333,1,0.0,146.0,381.0,527
334,1,3.0,1.0,3.0,7
335,0,50.0,36.0,3.0,89
336,1,0.0,231.0,1068.0,1299
337,1,75.0,0.0,14.0,89
338,1,0.0,0.0,0.0,0
339,0,26.0,0.0,94.0,120
340,3,226.0,0.0,45.0,271
341,0,723.0,0.0,635.0,1358
342,0,696.0,0.0,293.0,989
343,0,15.0,24.0,17.0,56
344,0,2000.0,652.0,1545.0,4197
345,0,13.0,0.0,1.0,14
346,0,0.0,15.0,746.0,761
347,1,1000.0,121.0,48.0,1169
348,0,20.0,17.0,1675.0,1712
349,0,0.0,9.0,1.0,10
350,0,0.0,370.0,429.0,799
351,3,86.0,100.0,248.0,434
352,4,0.0,18.0,434.0,452
353,1,2700.0,12000.0,455.0,15155
354,0,0.0,36.0,235.0,271
355,0,0.0,28.0,276.0,304
356,4,21.0,0.0,15.0,36
357,4,7.0,0.0,2.0,9
358,1,0.0,4.0,314.0,318
359,1,0.0,39.0,191.0,230
360,0,162.0,24.0,268.0,454
361,0,0.0,125.0,2630.0,2755
362,0,0.0,48.0,4760.0,4808
363,1,16000.0,24000.0,13346.0,53346
364,3,111.0,0.0,230.0,341
365,3,201.0,39.0,57.0,297
366,3,537.0,195.0,671.0,1403
367,3,0.0,0.0,102.0,102
368,0,46.0,8.0,55.0,109
369,4,0.0,105.0,210.0,315
370,0,0.0,85.0,284.0,369
371,0,128.0,0.0,135.0,263
372,0,0.0,797.0,7820.0,8617
373,3,24.0,0.0,4.0,28
374,0,7500.0,0.0,7465.0,14965
375,0,335.0,3.0,1840.0,2178
376,3,6.0,0.0,1.0,7
377,4,398.0,40.0,362.0,800
378,0,173.0,31.0,125.0,329
379,3,0.0,26.0,160.0,186
380,1,2.0,5.0,0.0,7
381,3,221000.0,10000.0,75508.0,306508
382,3,2.0,0.0,0.0,2
383,3,1000.0,0.0,451.0,1451
384,3,0.0,18.0,1.0,19
385,0,43.0,21.0,13.0,77
386,3,117.0,0.0,9.0,126
387,3,0.0,0.0,2.0,2
388,0,653.0,368.0,326.0,1347
389,3,127.0,0.0,19.0,146
390,3,0.0,11.0,9756.0,9767
391,4,40.0,14.0,69.0,123
392,3,158.0,72.0,44.0,274
393,0,0.0,78.0,6.0,84
394,1,0.0,0.0,0.0,0
395,0,0.0,322.0,2021.0,2343
396,0,0.0,322.0,2021.0,2343
397,1,42.0,0.0,24.0,66
398,4,94.0,78.0,805.0,977
399,0,0.0,2.0,655.0,657
400,3,0.0,17.0,149.0,166
401,4,279.0,38.0,25.0,342
402,3,0.0,1.0,0.0,1
403,3,0.0,97.0,14102.0,14199
404,0,60.0,11.0,12.0,83
405,3,0.0,97.0,14102.0,14199
406,3,21.0,7.0,1.0,29
407,1,15.0,1.0,32.0,48
408,3,0.0,2.0,213.0,215
409,0,794.0,72.0,34621.0,35487
410,4,142.0,29.0,198.0,369
411,3,33000.0,0.0,14102.0,47102
412,4,0.0,55.0,39.0,94
413,0,0.0,18.0,1529.0,1547
414,0,58.0,20.0,47.0,125
415,3,64.0,0.0,19.0,83
416,3,50.0,0.0,39.0,89
417,0,1000.0,0.0,710.0,1710
418,3,2400.0,18000.0,110865.0,131265
419,1,296.0,2.0,284.0,582
420,3,308.0,60.0,234.0,602
421,4,44.0,0.0,314.0,358
422,1,0.0,22.0,86.0,108
423,1,110.0,32.0,114.0,256
424,0,138.0,56.0,87.0,281
425,0,6600.0,19000.0,1196.0,26796
426,4,0.0,6.0,491.0,497
427,4,0.0,42.0,334.0,376
428,4,0.0,42.0,334.0,376
429,3,588.0,0.0,324.0,912
430,0,214.0,30.0,156.0,400
431,0,36000.0,68000.0,18053.0,122053
432,3,0.0,22.0,36.0,58
433,0,0.0,136.0,1604.0,1740
434,0,36000.0,68000.0,18053.0,122053
435,3,0.0,114.0,709.0,823
436,3,33.0,28.0,195.0,256
437,3,30.0,28.0,369.0,427
438,1,2100.0,24000.0,10017.0,36117
439,1,62.0,136.0,995.0,1193
440,1,0.0,9.0,86.0,95
441,0,602.0,11000.0,2089.0,13691
442,1,0.0,0.0,21.0,21
443,0,71000.0,41000.0,30196.0,142196
444,3,5700.0,783.0,1834.0,8317
445,4,157.0,40.0,65.0,262
446,0,22.0,10.0,226.0,258
447,0,370.0,429.0,1756.0,2555
448,0,4200.0,470.0,7544.0,12214
449,0,203.0,0.0,6730.0,6933
450,0,538.0,153.0,1618.0,2309
451,3,182.0,0.0,105.0,287
452,0,41.0,1.0,91.0,133
453,0,74.0,0.0,67.0,141
454,3,1100.0,426.0,2160.0,3686
455,4,0.0,2.0,8.0,10
456,4,0.0,2.0,8.0,10
457,0,6400.0,37000.0,569.0,43969
458,0,707.0,204.0,862.0,1773
459,1,242.0,212.0,269.0,723
460,0,0.0,58.0,254.0,312
461,0,459.0,266.0,612.0,1337
462,0,30000.0,13000.0,63038.0,106038
463,0,2700.0,291.0,11735.0,14726
464,3,33.0,50.0,54.0,137
465,0,3.0,2.0,2.0,7
466,0,229.0,0.0,182.0,411
467,0,21000.0,9.0,145803.0,166812
468,0,15000.0,41000.0,68993.0,124993
469,3,55.0,16.0,6.0,77
470,0,30.0,9.0,232.0,271
471,0,33000.0,0.0,69005.0,102005
472,0,240.0,0.0,990.0,1230
473,0,568.0,515.0,1642.0,2725
474,0,311.0,0.0,431.0,742
475,3,0.0,0.0,40.0,40
476,0,98.0,44.0,7.0,149
477,0,23.0,2.0,10.0,35
478,0,1.0,0.0,0.0,1
479,1,599.0,0.0,647.0,1246
480,1,446.0,0.0,507.0,953
481,1,375.0,0.0,379.0,754
482,0,88.0,7.0,86.0,181
483,0,7300.0,38000.0,5682.0,50982
484,0,9.0,0.0,0.0,9
485,0,2800.0,251.0,2319.0,5370
486,3,35.0,0.0,22.0,57
487,0,0.0,33.0,205.0,238
488,0,0.0,541.0,2033.0,2574
489,0,188.0,14.0,225.0,427
490,1,3700.0,1000.0,1588.0,6288
491,0,46.0,18.0,32.0,96
492,0,57.0,0.0,29.0,86
493,0,36.0,3.0,33.0,72
494,4,35.0,35.0,53.0,123
495,3,35000.0,0.0,725514.0,760514
496,0,13000.0,384.0,1363.0,14747
497,0,707.0,204.0,862.0,1773
498,0,361.0,2.0,4337.0,4700
499,3,155.0,9.0,527.0,691
500,3,107.0,14.0,80.0,201
501,0,1.0,0.0,0.0,1
502,0,4600.0,480.0,3005.0,8085
503,0,0.0,136.0,157.0,293
504,4,305.0,41.0,245.0,591
505,4,0.0,29.0,383.0,412
506,0,5.0,1.0,6.0,12
507,1,685.0,81.0,69.0,835
508,0,56.0,0.0,29.0,85
509,0,0.0,20.0,246.0,266
