,topic,all_reactions,comments,shares,interaction_sum,polarity,subjectivity
230,0,0.0,37.0,536.0,573,-0.19013047138047137,0.5036405723905724
231,0,61.0,0.0,184.0,245,0.10906764330677375,0.483087604826735
232,3,0.0,330.0,1611.0,1941,0.22762150728059816,0.5288646202282566
233,2,434.0,28.0,91.0,553,0.0,0.0
234,2,374.0,14.0,49.0,437,0.12472089314194575,0.5719298245614035
235,0,1.0,0.0,0.0,1,0.0,0.0
236,0,12.0,0.0,0.0,12,0.0,0.0
237,0,109.0,2.0,34.0,145,0.0,0.0
238,1,41.0,0.0,24.0,65,-0.003537414965986393,0.3720748299319728
239,2,1100.0,46.0,337.0,1483,0.44999999999999996,0.75
240,0,147.0,72.0,286.0,505,0.19318181818181818,0.41666666666666663
241,1,6600.0,12000.0,1700.0,20300,-0.09722222222222225,0.6805555555555555
242,0,0.0,107.0,2075.0,2182,0.2,0.2
243,0,0.0,17.0,168.0,185,0.014052175894281156,0.28753892306523876
244,4,496.0,302.0,1040.0,1838,0.02566964285714286,0.5484375
245,0,279.0,0.0,75.0,354,-0.11704545454545456,0.49034090909090905
246,1,140.0,0.0,25.0,165,-0.025178571428571418,0.5119047619047619
247,0,922.0,0.0,306.0,1228,-0.015625,0.22604166666666672
248,3,1700.0,6.0,97076.0,98782,0.14194444444444443,0.5263888888888889
249,3,3.0,0.0,3.0,6,0.0,0.0
250,0,44.0,2.0,89.0,135,0.04204545454545453,0.38181818181818183
251,2,0.0,0.0,0.0,0,-0.7142857142857143,0.8571428571428571
252,0,15.0,1.0,208.0,224,3.700743415417188e-17,0.7555555555555555
253,3,2.0,0.0,0.0,2,0.21103896103896103,0.5178571428571428
254,0,30.0,0.0,15.0,45,0.10499999999999998,0.62
255,0,72.0,0.0,41.0,113,0.0,0.0
256,3,63.0,11.0,282.0,356,-0.042777777777777776,0.48888888888888893
257,3,107.0,14.0,80.0,201,-0.0413003663003663,0.5647083685545223
258,0,19.0,0.0,39.0,58,0.08162102924398008,0.41682819912328084
259,0,2400.0,257.0,2928.0,5585,0.1619047619047619,0.5142857142857143
260,3,985.0,0.0,109.0,1094,-0.0950280112044818,0.4432773109243697
261,0,112.0,0.0,5.0,117,0.018518518518518514,0.39814814814814814
262,0,112.0,0.0,5.0,117,0.018518518518518514,0.39814814814814814
263,0,112.0,0.0,5.0,117,0.018518518518518514,0.39814814814814814
264,3,19.0,4.0,1.0,24,-0.5,1.0
265,1,685.0,81.0,69.0,835,-0.3,0.4
266,2,0.0,78000.0,16462.0,94462,-0.2333333333333333,0.5
267,3,8.0,11.0,4.0,23,0.10625607385811466,0.4481851311953352
268,4,0.0,13.0,8.0,21,0.023214285714285715,0.25982142857142854
269,3,153.0,0.0,84.0,237,0.016666666666666677,0.875
270,0,6.0,0.0,1.0,7,0.058465608465608464,0.516633597883598
271,3,29.0,0.0,3.0,32,0.01571750321750321,0.5720012870012869
272,3,290.0,0.0,20.0,310,0.007585978835978833,0.6081878306878308
273,3,1000.0,0.0,118.0,1118,-0.018567323481116598,0.552208538587849
274,1,77.0,13.0,4.0,94,-0.19864718614718616,0.36731601731601726
275,0,259.0,84.0,37.0,380,0.12106060606060605,0.3528787878787879
276,0,0.0,36.0,131.0,167,0.13333333333333333,0.4333333333333333
277,0,582.0,0.0,374.0,956,-0.07203703703703704,0.42962962962962964
278,0,2500.0,3.0,19493.0,21996,0.08677579365079367,0.3912896825396825
279,0,78.0,0.0,24.0,102,0.11416666666666667,0.41666666666666663
280,0,0.0,260.0,1597.0,1857,0.044166666666666674,0.5216666666666667
281,0,2200.0,60.0,2860.0,5120,-0.0016754850088183547,0.3400352733686067
282,0,338.0,238.0,913.0,1489,0.32,0.36111111111111116
283,0,115.0,10.0,154.0,279,0.32,0.36111111111111116
284,0,945.0,0.0,2547.0,3492,0.09037268287268285,0.5407371332371331
285,3,2100.0,636.0,1409.0,4145,0.23750000000000002,0.55
286,3,0.0,36.0,285.0,321,0.25,0.3625
287,4,79.0,0.0,18.0,97,0.0,0.125
288,0,16.0,0.0,1.0,17,0.0,0.0
289,0,0.0,1.0,3576.0,3577,-0.1,0.5366666666666667
290,1,7.0,0.0,0.0,7,0.37857142857142856,0.6857142857142857
291,0,1100.0,19000.0,52038.0,72138,0.16720779220779222,0.5116883116883117
292,0,4.0,0.0,1.0,5,0.08755102040816326,0.4649659863945578
293,0,219.0,159.0,928.0,1306,0.15000000000000002,0.6
294,0,664.0,49.0,1481.0,2194,0.3333333333333333,0.4523809523809524
295,0,2.0,0.0,2.0,4,0.0,0.0
296,0,412.0,129.0,384.0,925,-0.5029761904761905,0.6785714285714286
297,0,2500.0,3.0,19491.0,21994,0.08677579365079367,0.3912896825396825
298,4,0.0,6.0,491.0,497,0.0,1.0
299,4,4.0,0.0,1.0,5,-0.03333333333333332,0.5694444444444445
300,0,10.0,0.0,11.0,21,-0.029104683195592288,0.48126721763085417
301,1,12.0,0.0,25.0,37,0.0,0.0
302,0,0.0,243.0,1641.0,1884,-0.1,0.6
303,0,3900.0,0.0,1357.0,5257,0.09432772733657689,0.48094305890766076
304,0,0.0,18.0,197.0,215,0.027272727272727258,0.6615151515151515
305,0,0.0,125.0,648.0,773,-0.04896694214876034,0.4704545454545455
