has_words,id,link
"facebook,twitter",0,https://chequeado.com/el-explicador/es-falsa-la-cadena-que-circula-por-whatsapp-que-senala-que-la-provincia-busca-voluntarios-para-la-campana-de-vacunacion/
social media,0,https://healthfeedback.org/claimreview/frequency-of-deaths-in-elderly-individuals-after-covid-19-vaccination-werent-higher-than-the-frequency-in-those-who-werent-vaccinated/
"tweet,social media",0,https://www.vishvasnews.com/english/health/fact-check-no-who-hasnt-ranked-sri-lanka-fifth-best-country-for-covid-19-response-viral-post-is-fake/
"facebook,twitter,tweet",0,https://www.buzzfeed.com/jp/kotahatachi/metro-tokyo
,0,https://maldita.es/malditobulo/20210122/polonia-suecia-noruega-demanda-oms-infectar-europa/
,0,https://maldita.es/malditobulo/20210304/indice-nacional-de-defunciones-fallecidos-cifras/
"facebook,twitter,tweet",0,https://teyit.org/analiz-rothschild-ailesi-covid-19-test-kitinin-patent-basvurusunu-2020de-yapti
,0,https://www.animalpolitico.com/elsabueso/astrazeneca-no-usa-embriones-criados-en-probetas-para-su-vacuna-contra-covid/
,0,https://www.newtral.es/bulo-naranja-gusto-coronavirus/20210201/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-ivermectina-liverpool/
,0,https://www.animalpolitico.com/elsabueso/no-tomar-ibuprofeno-y-antigripal-no-cura-el-covid/
,0,https://www.newtral.es/bulo-pcr-genes-endogenos-cov/20210217/
"tweet,social media",0,https://factcheck.afp.com/indian-ruling-party-members-amplify-false-claim-indian-muslim-cleric-warned-vaccine-microchip
,0,https://www.newtral.es/bulo-guayaba-covid-19/20210216/
facebook,0,https://factcheck.afp.com/false-facebook-posts-claim-who-ranked-sri-lanka-fifth-best-country-covid-19-pandemic-response
"facebook,twitter",0,https://chequeado.com/verificacionfb/es-falso-que-vacunaron-a-una-mujer-en-quilmes-con-una-jeringa-sin-aguja/
