checked_link,facebook_ids,facebook_links,id,social_medias,twitter_ids,twitter_links
https://www.factcheck.org/2020/03/martial-law-isnt-imminent/,,"https://www.facebook.com/factcheck.org,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.factcheck.org%2F2020%2F03%2Fmartial-law-isnt-imminent%2F%3Futm_source%3Dfacebook%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&t=Martial%20Law%20Isn%E2%80%99t%20%E2%80%98Imminent%E2%80%99,https://www.facebook.com/amtvmedia/videos/vb.241659632691204/807342209752343/?type=2&theater,https://www.facebook.com/amtvmedia/videos/vb.241659632691204/630729070832442/?type=2&theater",701,1,"1240811634215378944,1240833664801538049,1241511790988623873","https://twitter.com/intent/tweet?text=Martial%20Law%20Isn%E2%80%99t%20%E2%80%98Imminent%E2%80%99&url=https%3A%2F%2Fwww.factcheck.org%2F2020%2F03%2Fmartial-law-isnt-imminent%2F%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&via=factcheckdotorg,https://twitter.com/WANationalGuard/status/1240811634215378944,https://twitter.com/biancoresearch/status/1240833664801538049,https://twitter.com/ChiefPentSpox/status/1241511790988623873"
https://factual.afp.com/consumir-plata-coloidal-no-previene-ni-sirve-como-tratamiento-para-el-nuevo-coronavirus,,https://www.facebook.com/AFPFactual/,702,0,,
https://leadstories.com/hoax-alert/2020/03/fact-check-link-does-not-take-people-to-application-for-fema-assistance-and-no-1000-check.html,10158381654173627,"https://www.facebook.com/photo.php?fbid=10158381654173627&set=a.181786463626&type=3&theater,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",703,2,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://factcheck.afp.com/false-posts-claim-covid-19-existed-2019-use-animal-vaccines-proof,,https://www.facebook.com/AFPFactCheck/,704,0,,
https://leadstories.com/hoax-alert/2020/03/fact-check-homeland-security-is-not-preparing-to-mobilize-the-national-guard-to-combat-coronavirus.html,564690447481157,"https://www.facebook.com/aaron.hawkins.16/posts/564690447481157,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",705,3,"1241119424729559041,1239398218292748292","https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/hashtag/NationalGuard?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/hashtag/Covid_19?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/hashtag/COVID19?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/ChiefNGB/status/1241119424729559041?ref_src=twsrc%5Etfw,https://twitter.com/hashtag/quarantine?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/hashtag/COVID19?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/hashtag/coronavirus?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/WHNSC/status/1239398218292748292?ref_src=twsrc%5Etfw,https://twitter.com/intent/tweet"
https://pesacheck.org/false-this-man-wearing-a-face-mask-is-not-ugandas-first-confirmed-covid-19-case-1b1e29fc40c9?source=rss----ab41f21aa9a9---4,,"https://www.facebook.com/help/572838089565953?helpref=faq_content,https://web.facebook.com/PesaCheck/",706,1,"1233725785283932160,1241469504087035904","https://twitter.com/Surgeon_General/status/1233725785283932160,https://twitter.com/MinofHealthUG/status/1241469504087035904?s=20"
https://www.politifact.com/factchecks/2020/mar/24/facebook-posts/first-trump-now-biden-neither-said-people-who-have/,"2690744507647052,2690744507647052","https://www.facebook.com/politifact/,https://www.facebook.com/photo.php?fbid=2690744507647052&set=a.395037310551128&type=3&theater,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/photo.php?fbid=2690744507647052&set=a.395037310551128&type=3&theater,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/24/facebook-posts/first-trump-now-biden-neither-said-people-who-have/&display=popup&ref=plugin&src=share_button",707,2,,"https://twitter.com/Politifact/,https://twitter.com/Politifact/"
https://leadstories.com/hoax-alert/2020/03/Fact-Check-Evidence-Does-NOT-Show-The-WHO-Director-General-Overstated-COVID-19-Fatality-Rate.html,,"https://www.facebook.com/search/latest/?q=Evidence Shows Director General of World Health Organization Severely Overstated the Fatality Rate of the Coronavirus Leading to the Greatest Global Panic in History,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",708,0,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://www.politifact.com/factchecks/2020/mar/30/facebook-posts/congress-did-not-give-itself-raise-coronavirus-sti/,,"https://www.facebook.com/politifact/,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/30/facebook-posts/congress-did-not-give-itself-raise-coronavirus-sti/&display=popup&ref=plugin&src=share_button",709,0,,"https://twitter.com/Politifact/,https://twitter.com/Politifact/"
https://www.factcheck.org/2020/03/viral-posts-falsely-align-viruses-to-election-years/,"10157390202648520,1892690790866167,10222914033466020","https://www.facebook.com/factcheck.org,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.factcheck.org%2F2020%2F03%2Fviral-posts-falsely-align-viruses-to-election-years%2F%3Futm_source%3Dfacebook%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&t=Viral%20Posts%20Falsely%20Align%20Viruses%20to%20Election%20Years,https://www.facebook.com/photo.php?fbid=10157390202648520&set=a.10152714385408520&type=3&theater,https://www.facebook.com/photo.php?fbid=1892690790866167&set=a.511594605642466&type=3&theater,https://www.facebook.com/photo.php?fbid=10222914033466020&set=a.1163139845346&type=3&theater",710,2,,https://twitter.com/intent/tweet?text=Viral%20Posts%20Falsely%20Align%20Viruses%20to%20Election%20Years&url=https%3A%2F%2Fwww.factcheck.org%2F2020%2F03%2Fviral-posts-falsely-align-viruses-to-election-years%2F%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Dsocial-pug&via=factcheckdotorg
https://factcheck.afp.com/hot-air-saunas-hair-dryers-wont-prevent-or-treat-covid-19,,https://www.facebook.com/AFPFactCheck/,711,0,,
https://factcheck.afp.com/us-president-donald-trump-did-not-announce-coronavirus-vaccine-was-ready,,https://www.facebook.com/AFPFactCheck/,712,0,,
https://leadstories.com/hoax-alert/2020/03/fact-check-sky-news-video-about-coronavirus-victims-in-italy-did-not-get-taken-down.html,,"https://www.facebook.com/search/latest/?q=Sky news vid that got taken down,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",713,0,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://leadstories.com/hoax-alert/2020/03/fact-check-5g-technology-not-believed-to-have-caused-coronavirus.html,,"https://www.facebook.com/jeffery.prewitt/videos/10217369394652215/,https://www.facebook.com/search/latest/?q=Coronavirus Caused By 5G?,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",714,0,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://www.youtube.com/watch?v=bMdcxo-M2Rc&feature=youtu.be,,,715,0,,
https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/facebook-users-are-claiming-there-no-coronavirus-s/,,"https://www.facebook.com/politifact/,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/facebook-users-are-claiming-there-no-coronavirus-s/&display=popup&ref=plugin&src=share_button",716,0,,"https://twitter.com/Politifact/,https://twitter.com/Politifact/"
https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/no-trump-didnt-say-people-are-dying-who-have-never/,"100000570194060,100000570194060","https://www.facebook.com/politifact/,https://web.archive.org/save/https://www.facebook.com/permalink.php?story_fbid=3522189717810000&id=100000570194060,https://www.facebook.com/help/1952307158131536?helpref=related,https://web.archive.org/save/https://www.facebook.com/permalink.php?story_fbid=3522189717810000&id=100000570194060,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/no-trump-didnt-say-people-are-dying-who-have-never/&display=popup&ref=plugin&src=share_button",717,2,,"https://twitter.com/Politifact/,https://twitter.com/Politifact/"
https://www.politifact.com/factchecks/2020/mar/26/john-cornyn/checking-cornyn-chinese-culture-and-coronavirus/,,"https://www.facebook.com/politifact/,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/26/john-cornyn/checking-cornyn-chinese-culture-and-coronavirus/&display=popup&ref=plugin&src=share_button",718,1,"1240364608390606850,1240364608390606850","https://twitter.com/Politifact/,https://twitter.com/thehill/status/1240364608390606850?s=20,https://twitter.com/thehill/status/1240364608390606850?s=20,https://twitter.com/Politifact/"
