,url,date
87,https://www.fastcheck.cl/2021/06/18/video-las-vacunas-del-covid-19-poseen-un-mecanismo-de-magnetogenetica-que-influye-sobre-las-personas-y-modifica-su-genetica-falso/,2021-08-09
88,https://www.fastcheck.cl/2021/06/16/michele-merlo-se-ofrecio-como-voluntario-para-probar-la-vacuna-covid-y-murio-de-una-hemorragia-cerebral-enganoso/,2021-08-09
89,https://www.fastcheck.cl/2021/06/08/las-unidades-de-observacion-prolongada-uop-llevan-dos-meses-de-implementacion-falso/,2021-08-09
90,https://www.fastcheck.cl/2021/06/04/30-personas-se-desmayaron-tras-recibir-dosis-de-la-vacuna-cansino-en-las-condes-impreciso/,2021-08-09
91,https://www.fastcheck.cl/2021/06/04/gobierno-de-argentina-rechazo-una-donacion-de-15-mil-vacunas-de-chile-para-ciudad-rio-turbio-falso/,2021-08-09
92,https://www.fastcheck.cl/2021/06/03/las-personas-vacunadas-tienen-un-tercio-de-posibilidades-de-contagiarse-y-un-decimo-de-posibilidades-de-llegar-a-la-unidad-de-cuidados-intensivos-en-relacion-con-los-que-no-se-han-vacunado-real/,2021-08-09
93,https://www.fastcheck.cl/2021/06/02/estos-4-proyectos-de-vacuna-llegaron-a-buen-puerto-lo-que-nos-aseguro-la-adquisicion-de-40-millones-de-dosis-de-vacunas-real/,2021-08-09
94,https://www.fastcheck.cl/2021/06/01/pfizer-biontech-sinovac-astrazeneca-oxford-y-cansino-fueron-aprobadas-por-el-instituto-de-salud-publica-y-hoy-dia-la-oms-aprobo-sinovac-real/,2021-08-09
95,https://www.fastcheck.cl/2021/06/01/grafico-chile-esta-entre-los-tres-primeros-paises-del-mundo-que-mas-han-avanzado-en-el-proceso-de-vacunacion-real/,2021-08-09
96,https://www.fastcheck.cl/2021/05/27/vacuna-contra-el-covid-19-genera-atraccion-magnetica-falso/,2021-08-09
97,https://www.fastcheck.cl/2021/05/17/embajador-de-la-india-se-vacuno-contra-el-covid-19-y-murio-dos-dias-despues-enganoso/,2021-08-09
98,https://www.fastcheck.cl/2021/05/14/la-vacuna-sinopharm-tiene-73-efectos-adversos-enganoso/,2021-08-09
99,https://www.fastcheck.cl/2021/05/10/el-covid-19-es-una-enfermedad-vascular-y-no-respiratoria-impreciso/,2021-08-09
100,https://verafiles.org/articles/vera-files-fact-check-old-report-halt-astrazeneca-vaccine-us,2021-08-09
101,https://www.fastcheck.cl/2021/04/30/video-michael-yaedon-exfuncionario-de-pfizer-las-variantes-no-representan-una-amenaza-y-la-inmunidad-no-se-da-por-anticuerpos-chequeado/,2021-08-09
102,https://www.fastcheck.cl/2021/04/21/tanzania-no-tiene-medidas-sanitarias-y-su-presidente-muere-tras-denunciar-que-el-coronavirus-es-una-farsa-impreciso/,2021-08-09
103,https://www.fastcheck.cl/2021/04/21/estudioel-cloro-de-las-piscinas-puede-matar-el-coronavirus-en-30-segundos-segun-estudio-real/,2021-08-09
104,https://www.fastcheck.cl/2021/04/20/imagen-protestas-en-rumania-contra-las-restricciones-del-covid-19-falso/,2021-08-09
105,https://www.fastcheck.cl/2021/04/16/la-estafa-ha-sido-confirmada-la-pcr-no-detecta-el-sars-cov-2-sino-secuencias-de-genes-endogenos-falso/,2021-08-09
106,https://www.fastcheck.cl/2021/04/16/video-las-vacunas-afectan-el-sistema-inmune-modifican-el-material-genetico-y-su-eficacia-no-esta-probada-falso/,2021-08-09
107,https://www.fastcheck.cl/2021/04/15/los-murcielagos-tienen-una-historia-de-coexistencia-segura-con-seres-humanos-no-existiendo-casos-confirmados-de-transmision-de-covid-19-desde-la-especie-hacia-humanos-real/,2021-08-09
108,https://www.fastcheck.cl/2021/04/15/ya-es-oficial-el-estado-de-china-pasa-a-controlar-el-monopolio-del-suministro-electrico-del-57-de-los-chilenos-real/,2021-08-09
109,https://www.fastcheck.cl/2021/04/13/isp-comenzo-a-exigir-receta-medica-para-anticonceptivos-durante-la-pandemia-del-covid-19-falso/,2021-08-09
110,https://www.fastcheck.cl/2021/04/07/whatsapp-cura-de-coronavirus-fue-encontrada-en-alemania-falso/,2021-08-09
