,id,title,text,claimDate,reviewDate,claimant,publisher,url,label,found,query,poynter_date
10429,10266,,,,,,,,,9,https://www.boomlive.in/fake-news/no-xi-jinping-did-not-visit-muslim-homes-to-learn-how-to-fight-coronavirus-7143,2020-03-06 00:00:00
10430,10267,,,,,,,,,9,https://factuel.afp.com/les-defunts-infectes-par-le-coronavirus-peuvent-tout-de-meme-beneficier-de-certains-soins-mortuaires,2020-03-06 00:00:00
10431,10268,,,,,,,,,9,https://chequeado.com/el-explicador/coronavirus-dos-desinformaciones-sobre-marcelo-tinelli-y-federico-bal-se-volvieron-virales/,2020-03-06 00:00:00
10432,10269,"No, video no confirma caso de Coronavirus (Covid-19) en Cali",Video prueba coronavirus en Cali,,2020-03-06T16:34:40Z,,ColombiaCheck,https://colombiacheck.com/chequeos/no-se-ha-confirmado-caso-de-coronavirus-covid-19-en-cali,Falso,1,https://colombiacheck.com/chequeos/no-se-ha-confirmado-caso-de-coronavirus-covid-19-en-cali,2020-03-06 00:00:00
10433,10270,"No, en Sincelejo no han 'confirmado' caso de coronavirus (Covid-19)",Confirmado caso de coronavirus en Sincelejo,,2020-03-07T13:14:56Z,,ColombiaCheck,https://colombiacheck.com/chequeos/no-en-sincelejo-no-han-confirmado-caso-de-coronavirus-covid-19,Falso,1,https://colombiacheck.com/chequeos/no-en-sincelejo-no-han-confirmado-caso-de-coronavirus-covid-19,2020-03-06 00:00:00
10434,10271,,,,,,,,,9,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,2020-03-06 00:00:00
10435,10272,Fact-checking claims that Pelosi held up coronavirus aid,Says Nancy Pelosi delayed coronavirus funding so “Dems could campaign on it.”,2020-03-06T00:00:00Z,,Bloggers,PolitiFact,https://www.politifact.com/factchecks/2020/mar/10/blog-posting/fact-checking-claims-pelosi-held-coronavirus-aid/,Mostly False,1,https://www.politifact.com/factchecks/2020/mar/10/blog-posting/fact-checking-claims-pelosi-held-coronavirus-aid/,2020-03-06 00:00:00
10436,10273,,,,,,,,,9,https://www.thequint.com/news/webqoof/death-in-tamil-nadu-shared-as-delhi-coronavirus-case-fact-check,2020-03-06 00:00:00
10437,10274,,,,,,,,,9,https://factcheck.afp.com/biotech-company-inovio-pharmaceuticals-says-its-vaccine-development-phase-and-still-requires-human,2020-03-06 00:00:00
10438,10275,,,,,,,,,9,https://www.politifact.com/factchecks/2020/mar/11/donald-trump/donald-trumps-wrong-claim-anybody-can-get-tested-c/,2020-03-06 00:00:00
10439,10276,Drinking water does not prevent coronavirus infection,"If the coronavirus gets in your mouth, ""drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus.""",2020-03-06T00:00:00Z,,Facebook posts,PolitiFact,https://www.politifact.com/factchecks/2020/mar/11/facebook-posts/drinking-water-does-not-prevent-coronavirus-infect/,False,1,https://www.politifact.com/factchecks/2020/mar/11/facebook-posts/drinking-water-does-not-prevent-coronavirus-infect/,2020-03-06 00:00:00
