,id,title,text,claimDate,reviewDate,claimant,publisher,url,label,found,query,poynter
11556,11384,Garlic Does NOT Cure Coronavirus! – Dubawa,"Facebook page suggests a bowl of garlic cures ""Wuhans"" coronavirus.",2020-01-31T00:00:00Z,2020-02-07T00:00:00Z,,Dubawa,https://dubawa.org/garlic-does-not-cure-coronavirus/,"Health authorities have not recommended any particular drug for coronavirus. So, suggesting an alternative medical practice(s) such as eating a bowl of boiled garlic water is questionable.",9,https://dubawa.org/garlic-does-not-cure-coronavirus/,1.0
11557,11385,,,,,,,,,9,https://www.ellinikahoaxes.gr/2020/01/31/coronavirus-human-made-debunked/,
11558,11386,,,,,,,,,9,https://efectococuyo.com/cocuyo-chequea/es-falsa-cadena-departamento-salud-canada-coronavirus/,
11559,11387,,,,,,,,,9,https://english.factcrescendo.com/2020/01/31/coronavirus-viral-video-of-an-indonesian-market-misrepresented-as-being-from-china/,
11560,11388,,,,,,,,,9,https://www.ellinikahoaxes.gr/2020/01/31/nosokomeio-kina-koronaios/,
11561,11389,,,,,,,,,9,https://srilanka.factcrescendo.com/english/,
11562,11390,,,,,,,,,9,https://www.francetvinfo.fr/sante/maladie/coronavirus/il-est-tres-peu-probable-qu-une-epidemie-d-ampleur-se-propage-en-france-un-epidemiologiste-de-l-inserm-a-repondu-a-vos-questions-sur-le-coronavirus_3806903.html,
11563,11391,,5G tehnologija negativno utječe na imunitet i povezana je sa širenjem koronavirusa.,2020-01-29T00:00:00Z,2020-01-31T00:00:00Z,Social media post,Faktograf.hr,https://faktograf.hr/2020/01/31/nema-nikakvih-dokaza-da-je-koronavirus-povezan-s-5g-tehnologijom/,Nema dokaza da je 5G tehnologija povezana sa širenjem koronavirusa.,9,https://faktograf.hr/2020/01/31/nema-nikakvih-dokaza-da-je-koronavirus-povezan-s-5g-tehnologijom/,1.0
11564,11392,,,,,,,,,9,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-on-a-passe-au-microscope-les-rumeurs-qui-se-sont-propagees-sur-les-reseaux-sociaux_3804367.html,
11565,11393,,,,,,,,,9,https://lasillavacia.com/detector-tanque-gaseosas-postobon-no-esta-contaminado-coronavirus-75332,
11566,11394,,,,,,,,,9,https://maldita.es/malditobulo/no-no-hay-pruebas-de-que-haya-mas-de-1-500-muertos-por-el-coronavirus-iniciado-en-wuhan-china-a-fecha-de-31-de-enero-de-2020/,
11567,11395,,,,,,,,,9,https://www.ellinikahoaxes.gr/2020/01/30/fake-canada-ministry-coronavirus/,
11568,11396,,,,,,,,,9,https://hoax-alert.leadstories.com/3471567-fake-news-world-health-organization-did-not-officially-declare-coronavirus-a-plague-950680-are-not-dead.html,
11569,11397,,,,,,,,,9,https://maldita.es/malditobulo/el-bulo-conspirativo-del-coronavirus-y-el-desinfectante-de-lysol-que-asegura-que-la-cepa-actual-no-es-nueva-si-lo-es-ya-que-fue-descubierta-a-finales-de-2019-segun-la-oms/,
11570,11398,,,,,,,,,9,https://srilanka.factcrescendo.com/english/melange-of-unrelated-videos-merged-together-shared-in-context-with-coronavirus/,
11571,11399,,,,,,,,,9,https://www.factcheck.org/2020/01/qa-on-the-wuhan-coronavirus/,
11572,11400,,,,,,,,,9,https://english.factcrescendo.com/2020/02/05/fact-check-indian-citizen-from-tripura-did-not-die-due-to-coronavirus-in-malaysia/,
11573,11401,Colored-side outwards: the only way to wear a three-layered ...,Ways of wearing a surgical mask: Colored side out if you are sick and White side out if you do not want to become sick.,2020-01-29T00:00:00Z,2020-01-30T00:00:00Z,SOCIAL MEDIA POST,FACTLY,https://factly.in/colored-side-outwards-the-only-way-to-wear-a-three-layered-surgical-mask/,FALSE,9,https://factly.in/colored-side-outwards-the-only-way-to-wear-a-three-layered-surgical-mask/,1.0
11574,11402,,,,,,,,,9,https://infact.press/2020/02/post-4719/,
11575,11403,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html,
11576,11404,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html,
11577,11405,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html,
11578,11406,Fake News: Romania Has NOT Developed Coronavirus Vaccine ...,Romania develops Coronavirus Vaccine able to Cure White People only | EUTimes.net,2020-01-30T23:27:25Z,2020-01-30T23:27:25Z,eutimes.net,Lead Stories,https://leadstories.com/hoax-alert/2020/01/fake-news-romania-has-not-developed-coronavirus-vaccine-able-to-cure-white-people-only.html,False,9,https://hoax-alert.leadstories.com/3471563-fake-news-romania-has-not-developed-coronavirus-vaccine-able-to-cure-white-people-only.html,0.0
11579,11407,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html,
11580,11408,,,,,,,,,9,https://maldita.es/malditobulo/no-no-hay-pruebas-de-que-este-video-de-una-mujer-comiendo-una-sopa-de-murcielago-este-relacionado-con-el-coronavirus-fue-grabado-en-palaos-en-2016-no-en-china/,
11581,11409,,,,,,,,,9,https://maldita.es/malditaciencia/que-sabemos-sobre-la-sopa-de-murcielago-y-su-relacion-con-el-origen-del-coronavirus/,
11582,11410,,Hay una cura para el coronavirus que consiste en aspirinas y limón,2020-06-22T00:00:00Z,,Redes sociales,Maldita.es,https://maldita.es/malditobulo/20200618/cura-covid-19-limon-aspirinas-enfermedad/,Falso,9,https://maldita.es/malditaciencia/no-ningun-alimento-previene-de-la-infeccion-por-coronavirus/,0.0
11583,11411,,,,,,,,,9,https://maldita.es/malditobulo/no-no-hay-pruebas-de-que-hayan-muerto-10-000-personas-por-el-coronavirus-iniciado-en-wuhan-china-a-fecha-de-30-de-enero-de-2020/,
11584,11412,,,,,,,,,9,https://s.id/czBlu,
11585,11413,Çin'de iki günde hastane inşa edildiği iddiası,Çin'de iki günde hastane inşa edildiği iddiası,2020-01-28T00:00:00Z,2020-01-30T00:00:00Z,Sosyal medya,Teyit.org,https://teyit.org/cinde-iki-gunde-hastane-insa-edildigi-iddiasi,Yanlış,9,https://teyit.org/cinde-iki-gunde-hastane-insa-edildigi-iddiasi/,0.0
11586,11414,,,,,,,,,9,https://www.rappler.com/newsbreak/fact-check/251155-media-did-not-report-novel-coronavirus-low-mortality-rate,
11587,11415,,,,,,,,,9,https://www.rappler.com/newsbreak/fact-check/251084-novel-coronavirus-can-be-cured-by-garlic,
11588,11416,Ataşehir Fatih Sultan Mehmet Hastanesi'nde koronavirüs tespit ...,Ataşehir Fatih Sultan Mehmet Hastanesi’nde koronavirüs tespit edildiği iddiası,2020-01-27T00:00:00Z,2020-01-30T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/atasehir-fatih-sultan-mehmet-hastanesinde-koronavirus-tespit-edildigi-iddiasi,Yanlış,9,https://teyit.org/atasehir-fatih-sultan-mehmet-hastanesinde-koronavirus-tespit-edildigi-iddiasi/,0.0
11589,11417,,,,,,,,,9,https://truthmeter.mk/the-market-of-terror-is-in-indonesia-not-in-wuhan/,
11590,11418,,,,,,,,,9,https://www.lemonde.fr/les-decodeurs/article/2020/03/06/le-coronavirus-arme-biologique-le-vrai-du-faux-d-une-video-virale_6032098_4355770.html,
11591,11419,"#Verificamos: É da Indonésia, e não da China, vídeo em feira que ...",O mercado de Wuhan. O foco inicial do coronavírus,2020-01-30T17:07:09Z,2020-01-30T17:07:09Z,Vídeo publicado no YouTube,UOL,https://piaui.folha.uol.com.br/lupa/2020/01/30/verificamos-video-feira/,Falso,9,https://piaui.folha.uol.com.br/lupa/2020/01/30/verificamos-video-feira/,1.0
11592,11420,,,,,,,,,9,https://misbar.com/factcheck/5e32cbc6d4a22905921cae04,
11593,11421,,,,,,,,,9,https://factcheck.kz/claim-checking/verdict/pravda-li-chto-v-kitae-za-2-dnya-postroena-novaya-bolnica/,
11594,11422,,,,,,,,,9,https://factuel.afp.com/non-cette-video-ne-montre-pas-des-morts-du-coronavirus-dans-une-rue-en-chine?check=5,
11595,11423,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html?check=1,
11596,11424,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html?check=3,
11597,11425,,,,,,,,,9,http://news.jtbc.joins.com/html/040/NB11932040.html?check=2,
11598,11426,,The lab from which the coronavirus originated has a similar symbol as the lab responsible for a mass outbreak in the Resident Evil games.,,2020-01-30T00:00:00Z,,Full Fact,https://fullfact.org/online/wuhan-resident-evil-coronavirus/,"The source of the new coronavirus outbreak in Wuhan has not yet been identified. The lab is based in Shanghai, not Wuhan and there is no reason to think it has anything to do with the new coronavirus.",9,fullfact.org/online/wuhan-resident-evil-coronavirus/,0.0
11599,11427,,,,,,,,,9,https://maldita.es/malditobulo/no-no-hay-pruebas-de-que-la-teoria-que-relaciona-la-empresa-china-rlsw-con-el-coronavirus-a-traves-de-la-empresa-ficticia-umbrella-corporation-del-videojuego-resident-evil-sea-cierta/,
11600,11428,,,,,,,,,9,https://www.newschecker.in/article/news-detail/275_14649851,
11601,11429,,,,,,,,,9,http://newsmobile.in/articles/2020/01/30/fact-check-the-girl-in-the-viral-video-did-not-die-because-of-coronavirus/,
11602,11430,,,,,,,,,9,https://www.newtral.es/el-ministerio-de-sanidad-no-ha-emitido-ninguna-notificacion-de-emergencia-sobre-el-coronavirus/20200130/,
11603,11431,,,,,,,,,9,https://www.newtral.es/la-oms-no-ha-aconsejado-evitar-tener-sexo-sin-proteccion-con-animales-para-evitar-el-contagio-del-coronavirus/20200130/,
11604,11432,,,,,,,,,9,https://www.newtral.es/un-video-de-otra-ciudad-china-United Statesdo-para-crear-alarma-sobre-el-coronavirus/20200130/,
11605,11433,,,,,,,,,9,https://www.politifact.com/factchecks/2020/feb/11/facebook-posts/cocaine-not-shown-treat-novel-coronavirus/,
11606,11434,,,,,,,,,9,https://raskrinkavanje.ba/analiza/prikupljanje-klikova-sirenjem-panike-koronavirus-nije-zabiljezen-u-regiji,
11607,11435,,,,,,,,,9,https://raskrinkavanje.ba/analiza/prorocanstvo-iz-crtane-serije-simpsoni-zarazilo-i-portale-u-bih,
11608,11436,,,,,,,,,9,https://healthfeedback.org/claimreview/15-fatality-rate-from-coronavirus-2019-ncov-infection-was-based-only-on-initial-cases-actual-rate-closer-to-3-mike-adams-natural-news/,
11609,11437,,,,,,,,,9,https://tfc-taiwan.org.tw/articles/2188,
11610,11438,【錯誤】網傳「帶毛領或是絨線的衣服外套，較容易吸附病毒」？,網傳「帶毛領或是絨線的衣服外套，較容易吸附病毒」？,,2020-01-30T00:00:00Z,,台灣事實查核中心,https://tfc-taiwan.org.tw/articles/2190,錯誤,9,https://tfc-taiwan.org.tw/articles/2190,1.0
11611,11439,,,,,,,,,9,https://tfc-taiwan.org.tw/articles/2189,
11612,11440,,,,,,,,,9,https://tfc-taiwan.org.tw/articles/2198,
11613,11441,,,,,,,,,9,https://s.id/czAk5,
11614,11442,,,,,,,,,9,http://news.jtbc.joins.com/html/815/NB11931815.html,
11615,11443,,,,,,,,,9,https://hoax-alert.leadstories.com/3471548-fake-news-coronavirus-des-moines.html,
11616,11444,,,,,,,,,9,https://hoax-alert.leadstories.com/3471549-fake-news-scripps-urgent-care-not-on-lockdown-two-people-in-clinics-do-not-have-coronavirus.html,
11617,11445,,,,,,,,,9,https://maldita.es/malditobulo/no-no-hay-pruebas-de-que-bill-gates-sea-el-propietario-de-la-patente-del-brote-del-nuevo-coronavirus-iniciado-en-china/,
11618,11446,,,,,,,,,9,https://maldita.es/malditobulo/no-este-video-de-un-mercado-no-esta-grabado-en-wuhan-china-ni-es-el-escenario-donde-se-ha-propagado-el-coronavirus-el-video-esta-grabado-en-indonesia-y-es-de-julio-de-2019/,
11619,11447,,,,,,,,,9,https://maldita.es/malditobulo/no-la-oms-no-ha-pedido-evitar-tener-sexo-sin-proteccion-con-animales-para-evitar-el-contagio-de-coronavirus-es-una-imagen-manipulada/,
11620,11448,,,,,,,,,9,https://maldita.es/malditobulo/no-el-ministerio-de-sanidad-espanol-no-ha-emitido-ninguna-notificacion-de-emergencia-sobre-que-el-brote-de-coronavirus-es-muy-grave-y-mortal/,
11621,11449,,,,,,,,,9,https://spondeomedia.com/realidad-o-ficcion-una-umbrella-corporation-real-en-china/,
11622,11450,,,,,,,,,9,https://raskrinkavanje.ba/analiza/u-kini-nije-izgradena-nova-bolnica-za-samo-2-dana,
11623,11451,,,,,,,,,9,https://www.newtral.es/es-falso-que-haya-informes-sobre-mas-de-10-000-muertos-en-wuhan-a-caUnited States-del-coronavirus/20200129/,
11624,11452,,,,,,,,,9,https://spondeomedia.com/a-medias-de-1320-a-1920-pandemias-que-han-afectado-al-mundo/,
11625,11453,【錯誤】網傳圖文「北投消防隊光明分隊載到吐血OHCA病人，確認是 ...,網傳圖文「北投消防隊光明分隊載到吐血OHCA病人，確認是武漢肺炎」？,,2020-01-28T00:00:00Z,,台灣事實查核中心,https://tfc-taiwan.org.tw/articles/2160,錯誤,9,https://tfc-taiwan.org.tw/articles/2160,1.0
11626,11454,,,,,,,,,9,https://s.id/cxGES,
11627,11455,,,,,,,,,9,https://s.id/cxGci,
11628,11456,,,,,,,,,9,https://s.id/cxFTy,
11629,11457,,,,,,,,,9,https://www.newtral.es/no-hay-ninguna-alerta-de-coronavirus-en-madrid-valencia-o-barcelona-lo-difunde-una-cuenta-falsa-de-twitter-que-se-hace-pasar-por-el-pais/20200128/,
11630,11458,,,,,,,,,9,https://pagellapolitica.it/bufale/show/917/no-i-morti-per-il-coronavirus-in-cina-non-sono-112mila,
11631,11459,"No, drinking bleach will not ward off coronavirus",Says drinking a bleach solution will prevent you from getting the coronavirus.,2020-01-28T00:00:00Z,,Tweets,PolitiFact,https://www.politifact.com/factchecks/2020/jan/30/tweets/no-drinking-bleach-will-not-ward-coronavirus/,Pants on Fire,9,https://www.politifact.com/factchecks/2020/jan/30/tweets/no-drinking-bleach-will-not-ward-coronavirus/,1.0
11632,11460,,,,,,,,,9,https://pagellapolitica.it/bufale/show/916/coronavirus-no-questo-video-non-mostra-un-mercato-in-cina,
11633,11461,Clorox bottles don't prove the coronavirus was 'developed' before ...,"Says a ""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed.""",2020-01-28T00:00:00Z,,Facebook posts,PolitiFact,https://www.politifact.com/factchecks/2020/jan/30/facebook-posts/clorox-bottles-dont-prove-coronavirus-was-develope/,False,9,https://www.politifact.com/factchecks/2020/jan/30/facebook-posts/clorox-bottles-dont-prove-coronavirus-was-develope/,1.0
11634,11462,,,,,,,,,9,https://piaui.folha.uol.com.br/lupa/2020/01/28/verificamos-globo-coronavirus/,
11635,11463,Koronavirüsün aşısını bulduğu iddia edilen Türk doktor,Koronavirüsün aşısını bulduğu iddia edilen Türk doktor,2020-01-26T00:00:00Z,2020-01-28T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/koronavirusun-asisini-buldugu-iddia-edilen-turk-doktor,Yanlış,9,https://teyit.org/koronavirusun-asisini-buldugu-iddia-edilen-turk-doktor/,0.0
11636,11464,,,,,,,,,9,https://www.vishvasnews.com/english/health/fact-check-misinformation-related-to-coronavirus-outbreak-getting-viral/,
11637,11465,Koronavirüsün panzehirinin üzüm sirkesi olduğu iddiası,Koronavirüsün panzehirinin üzüm sirkesi olduğu iddiası,,2020-01-28T00:00:00Z,Yeni Akit,Teyit.org,https://teyit.org/koronavirusun-panzehirinin-uzum-sirkesi-oldugu-iddiasi,Yanlış,9,https://teyit.org/koronavirusun-panzehirinin-uzum-sirkesi-oldugu-iddiasi/,0.0
