,claimReviewed,datePublished,author_name,url
2940,"Says Nevada Gov. Steve Sisolak ""has banned the use of an anti-malaria drug that might help cure coronavirus.”",2020-03-27,PolitiFact,https://www.politifact.com/factchecks/2020/mar/27/turning-point-usa/conservative-group-meme-distorts-nevadas-chloroqui/
2941,Says to leave objects in the sun to avoid contracting the coronavirus.,2020-03-27,PolitiFact,https://www.politifact.com/factchecks/2020/mar/27/facebook-posts/still-no-proof-sunlight-kills-new-coronavirus/
2942,Says President Donald Trump made comments downplaying the coronavirus as the number of cases in the U.S. rose exponentially. ,2020-03-27,PolitiFact,https://www.politifact.com/article/2020/mar/27/ad-watch-priorities-usa-trumps-coronavirus-respons/
2943,COVID-19 was known to humans before its outbreak in 2020,2020-03-27,FACTLY,https://factly.in/coronaviruses-were-known-to-humans-decades-ago-sars-cov-2-covid-19-virus-is-just-a-new-type-of-coronavirus/
2944,తన పిల్లలను మరియు గర్భిణీ భార్యను చివరిసారిగా చూస్తున్న ఇండోనేషియా డాక్టర్ హైడియో అలీ ఫోటో,2020-03-27,FACTLY,https://factly.in/telugu-photo-from-malaysia-shared-as-that-of-indonesian-doctor-who-died-treating-coronavirus-patients/
2945,COVID-19 patients will not show symptoms for the first 14 days,2020-03-27,FACTLY,https://factly.in/covid-19-patients-show-symptoms-most-commonly-in-around-five-days-who/
2946,Iranian girl Anahita Hashemzadeh has contracted Coronavirus,2020-03-27,FACTLY,https://factly.in/iranian-girl-anahita-hashemzadeh-hasnt-contracted-coronavirus/
2947,El Gobierno paró de contabilizar los afectados y fallecidos por coronavirus entre el 6 y el 9 de marzo,2020-03-27,Newtral,https://www.newtral.es/bulo-gobierno-cifras-afectados-fallecidos-coronavirus-8-marzo/20200327/
2948,El Gobierno multará con 300.00€ a los que cambien de Comunidad Autónoma ,2020-03-27,Newtral,https://www.newtral.es/el-coronavirus-de-wuhan-epidemia-mundial-de-bulos-x/20200327/
2949,2020-ல் சீனாவில் இருந்து வைரஸ் பரவுவதை 1555-ல் எழுதிய நாஸ்டர்டாமஸ்.,2020-03-27,Youturn,https://youturn.in/factcheck/corona-virus-nostradamus.html
2950,அடுத்த ஞாயிற்றுக்கிழமை ரோச் மெடிக்கல் கம்பெனி தடுப்பூசியை வெளியிட உள்ளதாகவும் மற்றும் அதற்காக மில்லியன் கணக்கில் டோஸ்கள் தயார் செய்ய உள்ளதாகவும் ட்ரம்ப் நேரடியாக அறிவித்துள்ளார்.,2020-03-27,Youturn,https://youturn.in/factcheck/trump-announce-corona-vaccine.html
2951,Italy has run out of doctors amid COVID-19 pandemic,2020-03-27,Vera Files,https://verafiles.org/articles/vera-files-fact-check-fb-post-claiming-italy-has-no-more-doc
2952,"“If you look at swine flu …17,000 people died.”",2020-03-27,Washington Post,https://www.washingtonpost.com/politics/2020/03/27/those-covid-19-death-toll-figures-are-incomplete/
2953,Photo shows COVID-19 vaccine that can kill infection in three hours,2020-03-27,Vera Files,https://verafiles.org/articles/vera-files-fact-check-viral-photo-newly-developed-covid-19-v
2954,Ada bayi yang baru lahir yang menyebut makan telur rebus bisa mengobati infeksi virus Corona Covid-19,2020-03-27,Tempo.co,https://cekfakta.tempo.co/fakta/704/fakta-atau-hoaks-benarkah-ada-bayi-baru-lahir-yang-sebut-telur-rebus-bisa-obati-corona
2955,FB post warning people to stay at home during COVID pandemic carries photo of coffins in 'Italy',2020-03-27,Vera Files,https://verafiles.org/articles/vera-files-fact-check-fb-posts-about-coronavirus-dead-italy
2956,ఇటలీ లో రోడ్డు మీద చికిత్స పొందుతున్న కొరోనా పేషెంట్ల ఫోటోలు,2020-03-27,FACTLY,https://factly.in/telugu-earthquake-photos-from-croatia-are-shared-as-coronavirus-patients-situation-in-italy/
2957,Image of dead bodies of Coronavirus victims in Italy,2020-03-27,FACTLY,https://factly.in/photos-from-2013-are-falsely-shared-as-dead-bodies-of-coronavirus-victims-in-italy/
2958,Virus Hanta atau Hantavirus adalah virus baru yang muncul di tengah mewabahnya virus Corona Covid-19,2020-03-27,Tempo.co,https://cekfakta.tempo.co/fakta/703/fakta-atau-hoaks-benarkah-virus-hanta-adalah-virus-baru-yang-muncul-di-tengah-pandemi-corona
2959,இறைவா மக்களையும் காப்பாற்று. இறந்தவர்களின் ஆன்மாவை சாந்தி அடைய செய்,2020-03-27,Youturn,https://youturn.in/factcheck/italy-corona-deaths.html
2960,"Revista 'Saúde' de maio/2003 já alertava sobre o coronavírus que a China, irresponsável mente espalhou pelo mundo”",2020-03-27,Boatos.org,https://www.boatos.org/saude/revista-saude-2003-coronavirus-covid-19-existia-armacao-china.html
2961,"Artigo no New York Times mostra que Bolsonaro está certo sobre o coronavírus Médicos ouvidos defendem isolamento apenas de idosos, pessoas com doenças crônicas e com baixa imunidade",2020-03-27,,https://www.boatos.org/politica/the-new-york-times-concorda-com-bolsonaro-presidente-certo-coronavirus.html
2962,“Homem faz tratamento com o próprio sangue (auto-hemoterapia) e se cura do coronavírus”.,2020-03-27,Boatos.org,https://www.boatos.org/saude/auto-hemoterapia-cura-previne-coronavirus-covid-19.html
2963,Determinação do governo. Coronavírus no ES: Cartório registra primeira criança com nome “Alquingel”. Brasileiro não perde tempo!,2020-03-27,Boatos.org,https://www.boatos.org/brasil/crianca-registrada-nome-alquingel-homenagem-covid-19-espirito-santo.html
2964,Boas notícias! Vacina contra o vírus Carona pronta. Capaz de curar o paciente dentro de 3 horas após a injeção. Tiremos o chapéu para os cientistas dos EUA.,2020-03-27,Boatos.org,https://www.boatos.org/saude/eua-vacina-cura-coronavirus-tres-horas.html
2965,"*ANATEL* em conscientização contra o *_Corona Vírus_*, esta dando *GRATUITAMENTE 7GB de INTERNET* *RECEBER INTERNET:*",2020-03-27,Boatos.org,https://www.boatos.org/tecnologia/anatel-esta-dando-7-gb-internet-conscientizacao-novo-coronavirus.html
2966,"Ouçam o áudio, do Mandetta, ministro da Saúde",2020-03-27,Boatos.org,https://www.boatos.org/saude/mandetta-audio-final-de-abril-topo-pidemia-coronavirus.html
2967,"Meu posicionamento Pessoal, estou fazendo minha parte a espera de dias melhores. Mas mais uma vez reforço o quanto não gosto do Comunismo! Leia e tire suas conclusões: A GRANDE ENCENAÇÃO CHINESA",2020-03-27,Boatos.org,https://www.boatos.org/saude/alexandre-garcia-texto-grande-encenacao-chinesa-coronavirus.html
2968,Caixões enfileirados no Bérgamo (província no norte da Itália) esperando o sepultamento. Hoje já tivemos a informação de que não existem mais postos de terapia intensiva nessa região,2020-03-27,Boatos.org,https://www.boatos.org/mundo/foto-caixoes-vitimas-coronavirus-bergamo-italia.html
2969,"Em plena quarentena, Maju Coutinho foi passear com o marido no calçadão e ainda tirou selfie. Depois a Globo quer criticar o Bolsonaro. Vai vendo..…",2020-03-27,Boatos.org,https://www.boatos.org/entretenimento/maju-coutinho-vai-marido-praia-selfie-quarentena-coronavirus.html
2970,"Coronavírus: Após estudo realizado nos Estados Unidos, pesquisadores afirmam: “Pessoas que fazem uso da maconha, estão imunes ao Covid-19.”.",2020-03-27,Boatos.org,https://www.boatos.org/saude/pessoas-usam-maconha-imunes-novo-coronavirus.html
2971,Governo Federal iniciou o cadastramento do *Auxílio Cidadão* que dá uma ajuda mensal no valor de *R$ 200* para trabalhadores autônomos e pessoas de baixa renda para ajudar a combater,2020-03-27,Boatos.org,https://www.boatos.org/tecnologia/governo-liberou-auxilio-cidadao-saque-fgts-suspensao-contas-agua-luz-agendamento-vacina-contra-covid-19-whatsapp.html
2972,"Os médicos chineses que chegaram ontem à Itália para colaborar com nossas equipes especializadas estão divulgando esta mensagem. Por favor, leia com atenção e execute-o com seus contatos",2020-03-27,Boatos.org,https://www.boatos.org/saude/medicos-chineses-chegaram-italia-dicas-novo-coronavirus.html
2973,"SUPERMERCADOS BH INFORMA. Comunicamos que na sexta feira dia 20/03/20 será nossa última reposição de estoque , supermercado passará por quarentena devido o surto da covid-19",2020-03-27,Boatos.org,https://www.boatos.org/brasil/supermercados-bh-anuncia-fechar-quarentena-coronavirus.html
2974,Assai Atacadista tá doando Cestas básicas e Álcool Gel! Finalmente alguém pensando no povo brasileiro nesse momento difícil...,2020-03-27,Boatos.org,https://www.boatos.org/tecnologia/assai-atacadista-doando-alcool-gel-cestas-basica-coronavirus.html
2975,"Essa vacina, da marca Vanguard, muito utilizada pelos veterinários. Você, certamente, deve ter dado aí no seu gato, no seu cãozinho, enfim. Você leu aí o que ela combate? Tá vendo aqui? Coronavírus",2020-03-27,Boatos.org,https://www.boatos.org/saude/vanguard-vacina-covid-19-coronavirus-armacao.html
2976,Hospital Albert Einstein está com mais de 700 pacientes com #CoronaVirus sendo 100 na UTI no Sírio Libanês a situação está o dobro e o Governo está escondendo isso,2020-03-27,Boatos.org,https://www.boatos.org/saude/hospitais-albert-einstein-sirio-libanes-lotados-coronavirus.html
