counter,topic,likes,retweets,followers,interaction_sum
353,2,432.0,98.0,14281.0,14811
354,0,19.0,3.0,362318.0,362340
355,1,16.0,16.0,815784.0,815816
356,0,879.0,570.0,284790.0,286239
357,2,25607.0,2613.0,4513013.0,4541233
358,0,7.0,1.0,74.0,82
359,2,144.0,61.0,16879.0,17084
360,0,159.0,81.0,16879.0,17119
361,1,26.0,14.0,3857.0,3897
362,1,,,,3897
363,2,,,,3897
364,1,11464.0,2544.0,5072745.0,5086753
365,0,1177.0,525.0,8556.0,10258
366,0,2820.0,373.0,134047.0,137240
367,1,,,,137240
368,2,,,,137240
369,1,11464.0,2544.0,5072745.0,5086753
370,2,321.0,190.0,45407.0,45918
371,0,,,,45918
372,0,292.0,104.0,194390.0,194786
373,1,4545.0,1142.0,1102108.0,1107795
374,2,547.0,349.0,45817.0,46713
375,0,212.0,355.0,40641.0,41208
376,0,93020.0,8714.0,26776954.0,26878688
377,1,8.0,3.0,17954.0,17965
378,1,3.0,4.0,509.0,516
379,1,8.0,3.0,7576.0,7587
380,0,73013.0,15827.0,10264821.0,10353661
381,0,28.0,19.0,93.0,140
382,0,1.0,1.0,175.0,177
383,0,93020.0,8714.0,26776954.0,26878688
384,0,1464.0,398.0,6081808.0,6083670
385,0,23609.0,11085.0,1226434.0,1261128
386,2,14.0,3.0,1226434.0,1226451
387,0,23578.0,11085.0,1226425.0,1261088
388,0,93020.0,8714.0,26776954.0,26878688
389,1,26.0,14.0,3857.0,3897
390,0,93020.0,8714.0,26776954.0,26878688
391,0,59908.0,23513.0,647911.0,731332
392,0,,,,731332
393,1,129894.0,26649.0,9537935.0,9694478
394,0,772.0,628.0,7614.0,9014
395,0,439.0,89.0,5267974.0,5268502
396,0,438.0,89.0,5267974.0,5268501
397,0,3251.0,788.0,26437596.0,26441635
398,0,0.0,0.0,0.0,0
399,1,129894.0,26649.0,9537935.0,9694478
400,0,,,,9694478
401,2,264.0,34.0,319.0,617
402,0,24645.0,12211.0,1719643.0,1756499
403,1,129894.0,26649.0,9537935.0,9694478
404,0,93020.0,8714.0,26776954.0,26878688
405,0,1019.0,222.0,320982.0,322223
406,1,1608.0,496.0,460165.0,462269
407,0,85.0,34.0,460165.0,460284
408,1,98.0,70.0,2267.0,2435
409,0,4520.0,1386.0,1239557.0,1245463
410,0,33075.0,8686.0,1239557.0,1281318
411,0,13152.0,3184.0,29416883.0,29433219
412,2,,,,29433219
413,0,,,,29433219
414,1,,,,29433219
415,0,55.0,31.0,3166.0,3252
416,0,71.0,54.0,24258.0,24383
417,1,13.0,5.0,5498.0,5516
418,0,21.0,6.0,18211.0,18238
419,0,16.0,14.0,12046.0,12076
420,0,0.0,0.0,2405.0,2405
421,0,9090.0,3739.0,1634695.0,1647524
422,2,5155.0,932.0,1634695.0,1640782
423,0,,,,1640782
424,0,582.0,316.0,182642.0,183540
425,1,5.0,2.0,14.0,21
426,0,101.0,105.0,1830247.0,1830453
427,0,438.0,89.0,5267992.0,5268519
428,0,996.0,134.0,116495.0,117625
429,0,627.0,1223.0,9041.0,10891
430,0,622.0,1223.0,9039.0,10884
431,0,6624.0,1782.0,12116385.0,12124791
432,0,93020.0,8714.0,26776625.0,26878359
433,0,21341.0,8192.0,79370.0,108903
434,2,1654.0,268.0,1627766.0,1629688
435,0,2217.0,1818.0,1795848.0,1799883
436,0,622.0,1223.0,9039.0,10884
437,2,,,,10884
438,1,272.0,193.0,10491.0,10956
439,0,25079.0,12174.0,172433.0,209686
440,0,71.0,54.0,24258.0,24383
441,0,93020.0,8714.0,26776625.0,26878359
442,0,6624.0,1782.0,12116386.0,12124792
443,0,,,,12124792
444,1,387.0,255.0,77049.0,77691
445,0,9578.0,3341.0,1692680.0,1705599
446,0,16.0,6.0,20565.0,20587
447,2,188.0,92.0,78272.0,78552
448,0,21341.0,8192.0,79370.0,108903
449,2,6240.0,3191.0,134047.0,143478
450,0,2598.0,393.0,134047.0,137038
451,0,4072.0,2412.0,35464.0,41948
452,0,267.0,75.0,35464.0,35806
453,1,170.0,54.0,27626.0,27850
454,2,1845.0,340.0,403309.0,405494
455,0,,,,405494
456,1,36.0,3.0,1996.0,2035
457,1,2.0,1.0,1915.0,1918
458,0,21341.0,8192.0,79370.0,108903
459,1,331.0,64.0,210487.0,210882
460,0,1.0,0.0,234304.0,234305
461,1,28019.0,9700.0,234304.0,272023
462,0,2217.0,1818.0,1795848.0,1799883
463,0,1026.0,515.0,182642.0,184183
464,0,22980.0,4444.0,10264840.0,10292264
465,0,1026.0,515.0,182642.0,184183
466,0,21341.0,8192.0,79370.0,108903
467,2,476.0,97.0,215571.0,216144
468,0,21341.0,8192.0,79370.0,108903
469,0,283.0,67.0,4731.0,5081
470,0,21341.0,8192.0,79370.0,108903
471,1,,,,108903
472,0,,,,108903
473,0,93020.0,8714.0,26776625.0,26878359
474,0,,,,26878359
475,0,27.0,10.0,5332.0,5369
476,2,57.0,41.0,656422.0,656520
477,0,21341.0,8192.0,79370.0,108903
478,0,452.0,279.0,74413.0,75144
479,0,93020.0,8714.0,26776625.0,26878359
480,1,,,,26878359
481,0,79.0,16.0,258.0,353
482,0,1177.0,525.0,8556.0,10258
483,1,22902.0,18142.0,1882282.0,1923326
484,0,947.0,164.0,18720.0,19831
485,0,,,,19831
486,0,1177.0,525.0,8556.0,10258
487,0,34.0,7.0,3685.0,3726
488,1,5218.0,1900.0,37486.0,44604
489,0,7.0,2.0,3685.0,3694
490,0,752.0,296.0,85889.0,86937
491,2,,,,86937
492,1,561.0,195.0,18217.0,18973
493,1,396.0,95.0,82750.0,83241
494,0,2820.0,373.0,134047.0,137240
495,0,2598.0,393.0,134047.0,137038
496,1,,,,137038
497,0,,,,137038
498,0,193.0,75.0,12222.0,12490
499,0,474.0,73.0,127664.0,128211
500,2,,,,128211
501,0,2217.0,1818.0,1795848.0,1799883
502,0,174.0,70.0,1830247.0,1830491
503,1,331.0,64.0,210487.0,210882
504,0,6073.0,923.0,1168166.0,1175162
505,0,622.0,1223.0,9039.0,10884
506,0,,,,10884
507,0,0.0,0.0,279.0,279
508,0,94.0,78.0,4602.0,4774
509,0,,,,4774
510,1,,,,4774
511,0,79.0,46.0,129311.0,129436
512,0,48.0,5.0,7515.0,7568
513,0,5.0,8.0,381.0,394
514,2,9072.0,1413.0,26437586.0,26448071
515,0,,,,26448071
516,0,622.0,1223.0,9039.0,10884
517,1,2.0,7.0,318049.0,318058
518,2,476.0,97.0,215572.0,216145
519,1,1103.0,253.0,914616.0,915972
520,0,35831.0,12449.0,914616.0,962896
521,1,331.0,64.0,210487.0,210882
522,2,13.0,4.0,874.0,891
523,0,608.0,407.0,187261.0,188276
524,0,,,,188276
525,1,98.0,70.0,2267.0,2435
526,1,246.0,129.0,230147.0,230522
527,0,,,,230522
528,0,5598.0,1061.0,2220660.0,2227319
529,0,,,,2227319
530,0,2488.0,826.0,1269.0,4583
531,2,4.0,4.0,6746.0,6754
532,1,215.0,104.0,439977.0,440296
533,0,3342.0,1222.0,2152619.0,2157183
534,2,162.0,79.0,33795.0,34036
535,1,8.0,6.0,5125.0,5139
536,0,2927.0,339.0,1421746.0,1425012
537,1,115.0,69.0,6505.0,6689
538,0,56.0,17.0,12016.0,12089
539,1,889.0,222.0,71002.0,72113
540,1,888.0,222.0,71002.0,72112
541,0,39883.0,6218.0,6685544.0,6731645
542,1,15.0,6.0,768.0,789
543,0,366.0,112.0,1195230.0,1195708
544,0,2.0,1.0,440757.0,440760
545,0,583.0,141.0,48426.0,49150
546,0,1177.0,525.0,8556.0,10258
547,0,2217.0,1818.0,1795848.0,1799883
548,0,1177.0,525.0,8556.0,10258
549,1,4155.0,2378.0,21577.0,28110
550,2,1300.0,756.0,57589.0,59645
551,0,1804.0,588.0,550058.0,552450
552,0,1392.0,783.0,307537.0,309712
553,2,164.0,84.0,11185.0,11433
554,0,11.0,10.0,11185.0,11206
555,0,15.0,8.0,93733.0,93756
556,1,99.0,35.0,27626.0,27760
557,0,217.0,92.0,8080241.0,8080550
558,0,160.0,112.0,1437015.0,1437287
559,0,1.0,0.0,56.0,57
560,0,1177.0,525.0,8556.0,10258
561,0,56.0,8.0,26.0,90
562,0,1177.0,525.0,8556.0,10258
563,0,1934.0,771.0,7243035.0,7245740
564,0,1071.0,444.0,7243035.0,7244550
565,0,281.0,71.0,7243035.0,7243387
566,0,714.0,248.0,7243036.0,7243998
567,0,174.0,144.0,20496.0,20814
568,1,6502.0,2327.0,20496.0,29325
569,0,3787.0,942.0,5917128.0,5921857
570,1,,,,5921857
571,1,8982.0,3466.0,2613210.0,2625658
572,1,422.0,50.0,28338.0,28810
573,0,2582.0,324.0,358972.0,361878
574,0,2536.0,304.0,358972.0,361812
575,0,8237.0,1040.0,358972.0,368249
576,2,12749.0,4307.0,710797.0,727853
577,0,106.0,152.0,19090.0,19348
578,0,24042.0,8946.0,726423.0,759411
579,0,,,,759411
580,0,12887.0,4264.0,38223.0,55374
581,2,188.0,92.0,78272.0,78552
582,0,,,,78552
583,0,25.0,20.0,17035.0,17080
584,1,25.0,13.0,709266.0,709304
585,2,3892.0,1654.0,5267997.0,5273543
586,0,1946.0,317.0,231062.0,233325
587,1,188.0,96.0,3530520.0,3530804
588,0,3548.0,542.0,1626183.0,1630273
589,0,283.0,83.0,480608.0,480974
590,2,6390.0,1935.0,3401513.0,3409838
591,2,2012.0,366.0,3401513.0,3403891
592,0,1785.0,334.0,4145056.0,4147175
593,0,7647.0,3948.0,547380.0,558975
594,1,9749.0,4674.0,519923.0,534346
595,1,304.0,98.0,225694.0,226096
596,0,,,,226096
597,0,,,,226096
598,0,5598.0,1061.0,2220661.0,2227320
599,2,1197.0,2879.0,91671.0,95747
600,0,13.0,3.0,53233.0,53249
601,1,47.0,5.0,53233.0,53285
602,0,1186.0,508.0,9138148.0,9139842
603,0,1654.0,728.0,3091256.0,3093638
604,0,256.0,120.0,405703.0,406079
605,2,,,,406079
606,2,4.0,0.0,174.0,178
607,0,175.0,205.0,21870.0,22250
608,0,,,,22250
609,1,1002.0,240.0,3162792.0,3164034
610,1,429.0,108.0,2474224.0,2474761
611,0,618.0,121.0,5267997.0,5268736
612,1,105.0,51.0,7912728.0,7912884
613,1,,,,7912884
614,2,3034.0,2523.0,11315.0,16872
615,0,4535.0,4297.0,61201.0,70033
616,1,13.0,4.0,62414.0,62431
617,0,822.0,524.0,4015897.0,4017243
618,1,,,,4017243
619,2,293.0,117.0,15559.0,15969
620,0,989.0,210.0,156380.0,157579
621,0,3032.0,3421.0,634072.0,640525
622,0,2306.0,1185.0,63609.0,67100
623,0,160085.0,34131.0,9537617.0,9731833
624,0,604.0,35.0,88980.0,89619
625,0,5.0,2.0,5819.0,5826
626,0,4.0,3.0,5819.0,5826
627,0,,,,5826
628,2,442.0,143.0,101366.0,101951
629,0,1951.0,602.0,4865.0,7418
630,0,879.0,570.0,284793.0,286242
631,2,15.0,56.0,821392.0,821463
632,0,395.0,196.0,211205.0,211796
633,0,17.0,16.0,23330.0,23363
634,0,981.0,61.0,116496.0,117538
635,0,17.0,16.0,23330.0,23363
636,0,,,,23363
637,0,1803.0,679.0,78668.0,81150
638,0,1154.0,586.0,33462.0,35202
639,1,11.0,2.0,1706.0,1719
640,0,436.0,393.0,73159.0,73988
641,0,1974.0,1196.0,16436.0,19606
642,0,40.0,18.0,231062.0,231120
643,0,5598.0,1061.0,2220662.0,2227321
644,1,1093.0,764.0,871.0,2728
645,0,,,,2728
646,0,1194.0,299.0,12505611.0,12507104
647,1,46.0,19.0,18077.0,18142
648,0,,,,18142
649,0,242.0,40.0,543750.0,544032
650,0,865.0,144.0,3006936.0,3007945
651,0,3787.0,942.0,5917130.0,5921859
652,0,67.0,23.0,350038.0,350128
653,0,,,,350128
654,0,,,,350128
655,0,4.0,0.0,23659.0,23663
656,0,352.0,169.0,182643.0,183164
657,0,1177.0,525.0,8556.0,10258
658,0,233.0,257.0,231353.0,231843
659,1,,,,231843
660,0,160085.0,34131.0,9537619.0,9731835
