,topic,likes,retweets,followers,interaction_sum,polarity,subjectivity
255,0,378.0,78.0,222678.0,223134,-0.4000000000000001,0.6
256,0,,,,223134,-0.5,1.0
257,3,127963.0,36766.0,129989238.0,130153967,0.325,0.19166666666666665
258,3,9.0,5.0,1252772.0,1252786,-0.2,0.95
259,1,296.0,319.0,1934.0,2549,-0.25,1.0
260,0,4214.0,1546.0,2492205.0,2497965,-0.16666666666666666,0.3333333333333333
261,3,2128.0,1991.0,600573.0,604692,0.0,1.0
262,3,13642.0,7119.0,5268017.0,5288778,0.0,0.0
263,3,131.0,39.0,57747.0,57917,0.0,0.0
264,0,201.0,277.0,45060.0,45538,-0.18333333333333338,0.3333333333333333
265,0,3735.0,422.0,234304.0,238461,-0.09523809523809523,0.5238095238095238
266,0,1.0,0.0,17158.0,17159,-0.5,1.0
267,0,1097.0,1420.0,43907.0,46424,-0.5,1.0
268,3,13642.0,7119.0,5268022.0,5288783,0.0,0.0
269,3,,,,5288783,0.25,0.8500000000000001
270,3,35.0,29.0,3638543.0,3638607,0.175,0.3666666666666667
271,3,,,,3638607,0.25,0.8500000000000001
272,3,,,,3638607,0.0,0.0
273,3,724.0,1138.0,74452.0,76314,-0.13333333333333333,0.2333333333333333
274,3,25.0,30.0,753.0,808,0.21666666666666673,0.48333333333333334
275,0,975.0,544.0,70189.0,71708,-0.20000000000000004,0.3
276,3,399.0,50.0,414890.0,415339,0.18333333333333335,0.8833333333333333
277,3,724.0,1138.0,74452.0,76314,-0.13333333333333333,0.2333333333333333
278,3,4295.0,2478.0,231068.0,237841,0.31666666666666665,0.3444444444444444
279,3,9.0,3.0,1031.0,1043,0.0,0.0
280,3,724.0,1138.0,74452.0,76314,-0.13333333333333333,0.2333333333333333
281,3,1965.0,832.0,7991.0,10788,0.0,0.0
282,3,15.0,11.0,99502.0,99528,0.0,0.375
283,0,4214.0,1546.0,2492213.0,2497973,-0.16666666666666666,0.3333333333333333
284,3,724.0,1138.0,74452.0,76314,-0.13333333333333333,0.2333333333333333
285,3,25.0,30.0,753.0,808,0.21666666666666673,0.48333333333333334
286,3,121227.0,30804.0,7889404.0,8041435,0.3333333333333333,0.5
287,3,15817.0,5084.0,7889404.0,7910305,-0.05,0.4
288,3,608.0,407.0,187263.0,188278,0.03333333333333333,0.06666666666666667
289,0,276.0,112.0,12147.0,12535,-0.4000000000000001,0.6
290,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
291,3,1096.0,341.0,1279967.0,1281404,0.51,0.8
292,3,,,,1281404,0.25,0.8500000000000001
293,3,1.0,0.0,50.0,51,0.0,0.1
294,3,,,,51,0.0,0.0
295,3,,,,51,0.0,0.0
296,3,287.0,130.0,6986.0,7403,0.0,0.0
297,3,,,,7403,0.25,0.8500000000000001
298,3,4299.0,2439.0,432905.0,439643,0.0,0.06666666666666667
299,0,104.0,69.0,5175.0,5348,-0.5,1.0
300,3,586.0,287.0,246796.0,247669,0.11363636363636363,0.6477272727272727
301,3,56.0,77.0,446572.0,446705,-0.4,0.5
302,3,24.0,18.0,195761.0,195803,0.0,0.0
303,3,89080.0,14719.0,2134848.0,2238647,-0.25,0.5166666666666666
304,3,56.0,77.0,446572.0,446705,-0.4,0.5
305,3,56.0,77.0,446572.0,446705,-0.4,0.5
306,3,167.0,33.0,5693.0,5893,0.6,0.55
307,3,56.0,77.0,446572.0,446705,-0.4,0.5
308,3,1053.0,302.0,1692690.0,1694045,0.4,0.8
309,0,35.0,31.0,86922.0,86988,0.09999999999999995,0.75
310,3,4299.0,2439.0,432905.0,439643,0.0,0.06666666666666667
311,3,56.0,77.0,446572.0,446705,-0.4,0.5
312,0,201.0,277.0,45060.0,45538,-0.18333333333333338,0.3333333333333333
313,3,2045.0,535.0,1992.0,4572,0.0,0.0
314,3,2045.0,535.0,1992.0,4572,0.0,0.0
315,0,85.0,95.0,14099.0,14279,-0.20000000000000004,0.3625
316,0,139.0,157.0,46686.0,46982,-0.5,1.0
317,3,56.0,77.0,446572.0,446705,-0.4,0.5
318,3,6.0,2.0,71.0,79,0.0,0.0
319,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
320,3,,,,10258,0.0,0.0
321,0,5797.0,1993.0,5072724.0,5080514,-0.2604166666666667,0.5333333333333333
322,0,8.0,5.0,12495.0,12508,0.0,0.0
323,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
324,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
325,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
326,3,,,,12500,0.0,0.0
327,0,547.0,294.0,825156.0,825997,-0.18333333333333338,0.3333333333333333
328,0,8.0,5.0,12495.0,12508,0.0,0.0
329,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
330,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
331,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
332,0,8.0,5.0,12495.0,12508,0.0,0.0
333,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
334,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
335,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
336,0,8.0,5.0,12495.0,12508,0.0,0.0
337,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
338,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
339,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
340,0,8.0,5.0,12495.0,12508,0.0,0.0
341,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
342,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
343,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
344,0,8.0,5.0,12495.0,12508,0.0,0.0
345,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
346,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
347,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
348,0,8.0,5.0,12495.0,12508,0.0,0.0
349,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
350,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
351,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
352,0,8.0,5.0,12495.0,12508,0.0,0.0
353,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
354,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
355,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
356,0,8.0,5.0,12495.0,12508,0.0,0.0
357,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
358,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
359,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
360,0,547.0,294.0,825156.0,825997,-0.18333333333333338,0.3333333333333333
361,0,8.0,5.0,12495.0,12508,0.0,0.0
362,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
363,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
364,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
365,3,,,,12500,0.1,0.0
366,3,,,,12500,0.1,0.0
367,3,6817.0,3218.0,881496.0,891531,0.0,0.1
368,3,14327.0,6964.0,881496.0,902787,0.5,0.5
369,3,400.0,237.0,505929.0,506566,0.25,0.25
370,3,82.0,119.0,136193.0,136394,0.125,0.125
371,3,44.0,49.0,136193.0,136286,-0.2,0.48333333333333334
372,3,,,,136286,0.1,0.0
373,3,,,,136286,0.1,0.0
374,0,62.0,53.0,66574.0,66689,-0.20000000000000004,0.55
375,0,62.0,53.0,66574.0,66689,-0.20000000000000004,0.55
376,0,62.0,53.0,66574.0,66689,-0.20000000000000004,0.55
377,3,1182.0,205.0,5860226.0,5861613,0.0,0.06666666666666667
378,3,76.0,82.0,1983450.0,1983608,0.25,0.25
379,3,,,,1983608,0.3,0.425
380,1,39.0,19.0,7317090.0,7317148,0.0,0.0
381,3,76.0,82.0,1983450.0,1983608,0.25,0.25
382,1,48.0,32.0,4072.0,4152,0.0,0.0
383,0,8.0,5.0,12495.0,12508,0.0,0.0
384,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
385,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
386,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
387,3,2532.0,412.0,793877.0,796821,1.0,0.3
388,3,14327.0,6964.0,881496.0,902787,0.5,0.5
389,1,,,,902787,0.0,0.0
390,3,14327.0,6964.0,881496.0,902787,0.5,0.5
391,0,,,,902787,-0.4000000000000001,0.6
